DateTime,RightMouseLocation
2025/10/7 0:00:00,side
2025/10/7 0:01:59,corridor
2025/10/7 0:02:00,middle
2025/10/7 0:02:00,mid-sep
2025/10/7 0:02:06,middle
2025/10/7 0:05:31,mid-sep
2025/10/7 0:05:39,middle
2025/10/7 0:05:52,corridor
2025/10/7 0:05:53,side
2025/10/7 0:07:37,corridor
2025/10/7 0:07:38,middle
2025/10/7 0:07:43,corridor
2025/10/7 0:08:55,side
2025/10/7 0:10:23,corridor
2025/10/7 0:10:23,middle
2025/10/7 0:10:25,corridor
2025/10/7 0:10:25,side
2025/10/7 0:11:36,corridor
2025/10/7 0:11:39,middle
2025/10/7 0:12:24,mid-sep
2025/10/7 0:12:28,middle
2025/10/7 0:12:29,corridor
2025/10/7 0:12:30,side
2025/10/7 0:17:39,corridor
2025/10/7 0:17:40,middle
2025/10/7 0:17:40,corridor
2025/10/7 0:17:41,side
2025/10/7 0:28:37,corridor
2025/10/7 0:28:41,middle
2025/10/7 0:28:49,corridor
2025/10/7 0:28:49,side
2025/10/7 0:34:23,corridor
2025/10/7 0:34:23,middle
2025/10/7 0:34:48,mid-sep
2025/10/7 0:34:49,middle
2025/10/7 0:34:53,corridor
2025/10/7 0:34:54,side
2025/10/7 0:40:45,corridor
2025/10/7 0:40:45,middle
2025/10/7 0:41:04,mid-sep
2025/10/7 0:41:09,middle
2025/10/7 0:41:11,corridor
2025/10/7 0:41:12,side
2025/10/7 0:43:38,corridor
2025/10/7 0:43:39,middle
2025/10/7 0:43:42,mid-sep
2025/10/7 0:43:43,middle
2025/10/7 0:43:44,corridor
2025/10/7 0:43:45,side
2025/10/7 0:46:30,corridor
2025/10/7 0:46:31,middle
2025/10/7 0:46:45,mid-sep
2025/10/7 0:46:49,middle
2025/10/7 0:46:49,corridor
2025/10/7 0:46:50,side
2025/10/7 0:49:51,corridor
2025/10/7 0:49:51,side
2025/10/7 0:50:51,corridor
2025/10/7 0:50:52,side
2025/10/7 0:54:40,corridor
2025/10/7 0:54:40,middle
2025/10/7 0:54:42,mid-sep
2025/10/7 0:54:53,middle
2025/10/7 0:57:03,corridor
2025/10/7 0:57:03,side
2025/10/7 1:06:05,corridor
2025/10/7 1:06:06,middle
2025/10/7 1:06:07,mid-sep
2025/10/7 1:06:10,middle
2025/10/7 1:06:15,corridor
2025/10/7 1:06:15,side
2025/10/7 1:11:29,corridor
2025/10/7 1:11:37,middle
2025/10/7 1:11:51,corridor
2025/10/7 1:11:52,side
2025/10/7 1:22:02,corridor
2025/10/7 1:22:03,middle
2025/10/7 1:22:08,corridor
2025/10/7 1:22:09,side
2025/10/7 1:26:31,corridor
