DateTime,RightMouseLocation
2025/7/28 15:46:20,side
2025/7/28 16:17:51,corridor
2025/7/28 16:18:00,middle
2025/7/28 16:18:04,mid-sep
2025/7/28 16:18:25,middle
2025/7/28 16:18:30,mid-sep
2025/7/28 16:18:31,middle
2025/7/28 16:18:33,corridor
2025/7/28 16:18:36,side
2025/7/28 16:18:51,corridor
2025/7/28 16:18:53,middle
2025/7/28 16:18:57,mid-sep
2025/7/28 16:19:25,middle
2025/7/28 16:19:34,corridor
2025/7/28 16:19:36,side
2025/7/28 16:20:14,corridor
2025/7/28 16:20:15,middle
2025/7/28 16:20:18,mid-sep
2025/7/28 16:20:38,middle
2025/7/28 16:20:41,corridor
2025/7/28 16:20:43,side
2025/7/28 16:21:40,corridor
2025/7/28 16:21:42,middle
2025/7/28 16:21:45,mid-sep
2025/7/28 16:21:53,middle
2025/7/28 16:21:57,corridor
2025/7/28 16:21:59,side
2025/7/28 16:24:00,corridor
2025/7/28 16:24:01,middle
2025/7/28 16:24:02,mid-sep
2025/7/28 16:24:17,middle
2025/7/28 16:24:18,corridor
2025/7/28 16:24:22,side
2025/7/28 17:10:08,corridor
2025/7/28 17:10:09,middle
2025/7/28 17:10:10,mid-sep
2025/7/28 17:10:24,middle
2025/7/28 17:10:27,corridor
2025/7/28 17:10:29,side
2025/7/28 17:38:12,corridor
2025/7/28 17:38:13,middle
2025/7/28 17:38:15,mid-sep
2025/7/28 17:38:16,middle
2025/7/28 17:38:18,corridor
2025/7/28 17:38:20,side
2025/7/28 17:42:01,corridor
2025/7/28 17:42:02,middle
2025/7/28 17:42:03,mid-sep
2025/7/28 17:42:06,middle
2025/7/28 17:42:07,corridor
2025/7/28 17:42:08,side
2025/7/28 17:45:38,corridor
2025/7/28 17:45:38,middle
2025/7/28 17:45:41,mid-sep
2025/7/28 17:45:42,middle
2025/7/28 17:45:43,corridor
2025/7/28 17:45:43,side
2025/7/28 17:49:18,corridor
2025/7/28 17:49:19,middle
2025/7/28 17:49:21,mid-sep
2025/7/28 17:49:34,middle
2025/7/28 17:49:41,mid-sep
2025/7/28 17:49:43,middle
2025/7/28 17:49:48,mid-sep
2025/7/28 17:49:55,middle
2025/7/28 17:50:05,corridor
2025/7/28 17:50:06,side
2025/7/28 17:50:13,corridor
2025/7/28 17:50:14,middle
2025/7/28 17:50:22,mid-sep
2025/7/28 17:50:27,middle
2025/7/28 17:50:36,mid-sep
2025/7/28 17:50:52,middle
2025/7/28 17:50:53,corridor
2025/7/28 17:50:54,side
2025/7/28 17:54:11,corridor
2025/7/28 17:54:12,middle
2025/7/28 17:54:14,mid-sep
2025/7/28 17:54:28,middle
2025/7/28 17:54:31,corridor
2025/7/28 17:54:34,side
2025/7/28 18:19:15,corridor
2025/7/28 18:19:17,middle
