DateTime,RightMouseLocation
2025/11/13 14:44:23,side
2025/11/13 15:12:12,corridor
2025/11/13 15:12:13,middle
2025/11/13 15:12:15,mid-sep
2025/11/13 15:12:33,middle
2025/11/13 15:12:34,corridor
2025/11/13 15:12:35,side
2025/11/13 15:14:14,corridor
2025/11/13 15:14:16,middle
2025/11/13 15:14:18,mid-sep
2025/11/13 15:15:08,middle
2025/11/13 15:15:24,mid-sep
2025/11/13 15:15:33,middle
2025/11/13 15:15:39,corridor
2025/11/13 15:15:40,side
2025/11/13 16:59:28,corridor
2025/11/13 16:59:29,middle
2025/11/13 16:59:29,mid-sep
2025/11/13 16:59:51,middle
2025/11/13 16:59:55,corridor
2025/11/13 16:59:55,side
2025/11/13 17:03:50,corridor
2025/11/13 17:03:50,middle
2025/11/13 17:03:51,mid-sep
2025/11/13 17:04:16,middle
2025/11/13 17:04:22,corridor
2025/11/13 17:04:23,side
2025/11/13 17:07:09,corridor
2025/11/13 17:07:09,middle
2025/11/13 17:07:10,mid-sep
2025/11/13 17:07:27,middle
2025/11/13 17:07:29,corridor
2025/11/13 17:07:30,side
2025/11/13 17:07:51,corridor
2025/11/13 17:07:55,middle
2025/11/13 17:07:55,corridor
2025/11/13 17:07:55,side
2025/11/13 17:13:51,middle
2025/11/13 17:13:52,mid-sep
2025/11/13 17:14:55,middle
2025/11/13 17:15:17,corridor
2025/11/13 17:15:18,side
2025/11/13 18:08:37,corridor
2025/11/13 18:08:39,middle
2025/11/13 18:08:40,mid-sep
2025/11/13 18:08:47,middle
2025/11/13 18:08:53,corridor
2025/11/13 18:08:57,side
2025/11/13 18:35:44,corridor
2025/11/13 18:35:45,middle
2025/11/13 18:35:46,mid-sep
2025/11/13 18:36:15,middle
2025/11/13 18:36:26,mid-sep
2025/11/13 18:36:29,middle
2025/11/13 18:36:38,corridor
2025/11/13 18:36:41,side
2025/11/13 18:38:59,corridor
2025/11/13 18:39:00,middle
2025/11/13 18:39:01,mid-sep
2025/11/13 18:40:20,middle
2025/11/13 18:40:23,corridor
2025/11/13 18:40:28,side
2025/11/13 18:53:47,middle
2025/11/13 18:53:48,mid-sep
2025/11/13 18:53:51,middle
2025/11/13 18:53:53,corridor
2025/11/13 18:53:54,side
2025/11/13 19:05:11,middle
2025/11/13 19:05:12,mid-sep
2025/11/13 19:05:17,middle
2025/11/13 19:05:20,side
2025/11/13 19:07:22,corridor
2025/11/13 19:07:23,middle
2025/11/13 19:07:24,mid-sep
2025/11/13 19:07:28,middle
2025/11/13 19:07:49,mid-sep
2025/11/13 19:07:51,middle
2025/11/13 19:07:52,corridor
2025/11/13 19:07:53,side
2025/11/13 19:19:38,middle
2025/11/13 19:19:38,mid-sep
2025/11/13 19:19:49,middle
2025/11/13 19:19:50,corridor
2025/11/13 19:19:50,side
2025/11/13 19:26:48,middle
2025/11/13 19:26:49,mid-sep
