DateTime,RightMouseLocation
2026/3/19 12:00:00,side
2026/3/19 12:02:22,corridor
2026/3/19 12:02:23,middle
2026/3/19 12:02:23,mid-sep
2026/3/19 12:02:26,middle
2026/3/19 12:02:26,corridor
2026/3/19 12:02:28,side
2026/3/19 12:02:40,corridor
2026/3/19 12:02:40,middle
2026/3/19 12:02:41,mid-sep
2026/3/19 12:02:43,middle
2026/3/19 12:03:16,mid-sep
2026/3/19 12:03:22,middle
2026/3/19 12:04:12,corridor
2026/3/19 12:04:14,side
2026/3/19 12:04:37,corridor
2026/3/19 12:04:38,middle
2026/3/19 12:05:07,mid-sep
2026/3/19 12:05:12,middle
2026/3/19 12:05:16,corridor
2026/3/19 12:05:20,middle
2026/3/19 12:05:49,corridor
2026/3/19 12:05:50,side
2026/3/19 13:22:12,corridor
2026/3/19 13:22:14,middle
2026/3/19 13:22:18,mid-sep
2026/3/19 13:22:23,middle
2026/3/19 13:23:31,mid-sep
2026/3/19 13:23:44,middle
2026/3/19 13:23:48,mid-sep
2026/3/19 13:23:50,middle
2026/3/19 13:24:20,corridor
2026/3/19 13:24:21,side
2026/3/19 13:28:46,corridor
2026/3/19 13:28:49,middle
2026/3/19 13:28:50,mid-sep
2026/3/19 13:28:51,middle
2026/3/19 13:28:52,corridor
2026/3/19 13:28:53,side
2026/3/19 13:29:38,corridor
2026/3/19 13:29:39,side
2026/3/19 13:30:55,corridor
2026/3/19 13:30:57,middle
2026/3/19 13:30:58,corridor
2026/3/19 13:30:59,side
2026/3/19 13:31:20,corridor
2026/3/19 13:31:20,middle
2026/3/19 13:31:24,corridor
2026/3/19 13:31:25,side
2026/3/19 13:32:16,corridor
2026/3/19 13:32:17,middle
2026/3/19 13:32:17,mid-sep
2026/3/19 13:32:57,middle
2026/3/19 13:33:28,mid-sep
2026/3/19 13:33:29,middle
2026/3/19 13:33:37,mid-sep
2026/3/19 13:33:47,middle
2026/3/19 13:34:35,mid-sep
2026/3/19 13:34:49,middle
2026/3/19 13:35:11,mid-sep
2026/3/19 13:35:20,middle
2026/3/19 13:36:14,mid-sep
