DateTime,RightMouseLocation
2026/1/28 14:00:00,side
2026/1/28 15:08:30,corridor
2026/1/28 15:08:30,middle
2026/1/28 15:08:36,mid-sep
2026/1/28 15:08:43,middle
2026/1/28 15:08:57,mid-sep
2026/1/28 15:09:05,middle
2026/1/28 15:09:12,mid-sep
2026/1/28 15:09:15,middle
2026/1/28 15:09:17,corridor
2026/1/28 15:09:20,side
2026/1/28 15:14:39,corridor
2026/1/28 15:14:41,middle
2026/1/28 15:14:45,mid-sep
2026/1/28 15:14:50,middle
2026/1/28 15:14:57,mid-sep
2026/1/28 15:15:18,middle
2026/1/28 15:16:00,mid-sep
2026/1/28 15:16:11,middle
2026/1/28 15:16:14,corridor
2026/1/28 15:16:15,side
2026/1/28 16:36:37,corridor
2026/1/28 16:36:39,middle
2026/1/28 16:36:39,mid-sep
2026/1/28 16:36:42,middle
2026/1/28 16:37:05,corridor
2026/1/28 16:37:08,side
2026/1/28 17:45:18,corridor
2026/1/28 17:45:20,middle
2026/1/28 17:45:21,mid-sep
2026/1/28 17:45:25,middle
2026/1/28 17:45:28,corridor
2026/1/28 17:45:29,side
2026/1/28 17:48:35,corridor
2026/1/28 17:48:37,middle
2026/1/28 17:48:40,mid-sep
2026/1/28 17:48:42,middle
2026/1/28 17:48:46,corridor
2026/1/28 17:49:10,side
2026/1/28 17:49:33,corridor
2026/1/28 17:49:34,middle
2026/1/28 17:49:44,mid-sep
2026/1/28 17:49:54,middle
2026/1/28 17:51:55,mid-sep
2026/1/28 17:52:03,middle
2026/1/28 17:52:33,corridor
2026/1/28 17:52:34,side
2026/1/28 17:53:17,corridor
2026/1/28 17:53:19,middle
2026/1/28 17:53:20,mid-sep
2026/1/28 17:53:21,middle
2026/1/28 17:53:21,corridor
2026/1/28 17:53:21,side
2026/1/28 17:57:19,corridor
2026/1/28 17:57:20,middle
2026/1/28 17:57:22,mid-sep
2026/1/28 17:57:32,middle
2026/1/28 17:57:38,mid-sep
2026/1/28 17:57:57,middle
2026/1/28 17:59:37,mid-sep
2026/1/28 17:59:40,middle
2026/1/28 17:59:48,corridor
2026/1/28 17:59:57,side
2026/1/28 18:02:35,corridor
2026/1/28 18:02:36,middle
2026/1/28 18:02:38,corridor
2026/1/28 18:02:38,side
2026/1/28 18:07:52,corridor
2026/1/28 18:07:52,middle
2026/1/28 18:08:10,mid-sep
2026/1/28 18:08:23,middle
2026/1/28 18:08:25,corridor
2026/1/28 18:08:26,side
2026/1/28 18:09:06,corridor
2026/1/28 18:09:07,middle
2026/1/28 18:09:10,corridor
2026/1/28 18:09:16,side
2026/1/28 18:19:26,corridor
2026/1/28 18:19:26,middle
2026/1/28 18:19:30,mid-sep
2026/1/28 18:19:48,middle
2026/1/28 18:19:52,corridor
2026/1/28 18:19:53,side
2026/1/28 19:19:24,corridor
2026/1/28 19:19:25,middle
2026/1/28 19:19:28,mid-sep
2026/1/28 19:19:40,middle
2026/1/28 19:19:58,corridor
2026/1/28 19:19:59,side
2026/1/28 19:20:27,corridor
2026/1/28 19:20:29,middle
2026/1/28 19:20:35,mid-sep
2026/1/28 19:20:36,middle
2026/1/28 19:20:37,corridor
2026/1/28 19:20:43,side
2026/1/28 19:21:48,corridor
2026/1/28 19:21:49,middle
2026/1/28 19:21:50,mid-sep
2026/1/28 19:21:54,middle
2026/1/28 19:22:03,corridor
2026/1/28 19:22:19,side
2026/1/28 19:24:46,corridor
2026/1/28 19:24:52,middle
2026/1/28 19:24:53,mid-sep
2026/1/28 19:24:59,middle
2026/1/28 19:25:00,corridor
2026/1/28 19:25:01,side
