DateTime,LeftMouseLocation
2025/12/28 0:00:00,side
2025/12/28 0:00:32,corridor
2025/12/28 0:00:33,middle
2025/12/28 0:00:38,mid-sep
2025/12/28 0:00:48,middle
2025/12/28 0:01:07,corridor
2025/12/28 0:01:08,side
2025/12/28 0:11:28,corridor
2025/12/28 0:11:29,middle
2025/12/28 0:11:32,mid-sep
2025/12/28 0:11:40,middle
2025/12/28 0:11:42,mid-sep
2025/12/28 0:11:51,middle
2025/12/28 0:11:52,corridor
2025/12/28 0:11:53,side
2025/12/28 0:13:53,corridor
2025/12/28 0:13:55,middle
2025/12/28 0:13:56,mid-sep
2025/12/28 0:13:59,middle
2025/12/28 0:14:02,corridor
2025/12/28 0:14:04,side
2025/12/28 2:40:30,corridor
2025/12/28 2:40:30,mid-sep
2025/12/28 2:40:56,middle
2025/12/28 2:43:47,mid-sep
2025/12/28 2:43:50,middle
2025/12/28 2:43:50,corridor
2025/12/28 2:44:01,side
2025/12/28 2:44:20,corridor
2025/12/28 2:44:21,middle
2025/12/28 2:44:21,mid-sep
2025/12/28 2:44:28,middle
2025/12/28 2:44:28,corridor
2025/12/28 2:44:32,side
2025/12/28 2:47:05,corridor
2025/12/28 2:47:06,middle
2025/12/28 2:47:06,mid-sep
2025/12/28 2:47:11,middle
2025/12/28 2:47:14,corridor
2025/12/28 2:47:23,side
2025/12/28 2:55:53,corridor
2025/12/28 2:55:55,middle
2025/12/28 2:55:56,mid-sep
2025/12/28 2:56:00,middle
2025/12/28 2:56:00,corridor
2025/12/28 2:56:02,side
2025/12/28 2:57:46,corridor
2025/12/28 2:57:48,side
2025/12/28 3:02:12,corridor
2025/12/28 3:02:13,middle
2025/12/28 3:02:14,mid-sep
2025/12/28 3:02:15,corridor
2025/12/28 3:02:15,side
2025/12/28 4:28:12,corridor
2025/12/28 4:28:13,middle
2025/12/28 4:28:14,mid-sep
2025/12/28 4:28:20,middle
2025/12/28 4:28:20,corridor
2025/12/28 4:28:44,side
2025/12/28 4:32:04,corridor
2025/12/28 4:32:05,middle
2025/12/28 4:32:06,mid-sep
2025/12/28 4:32:25,middle
2025/12/28 4:32:27,corridor
2025/12/28 4:32:33,side
2025/12/28 4:33:13,corridor
2025/12/28 4:33:14,middle
2025/12/28 4:33:17,mid-sep
2025/12/28 4:33:29,middle
2025/12/28 4:33:30,corridor
2025/12/28 4:33:30,side
2025/12/28 4:36:44,corridor
2025/12/28 4:36:46,middle
2025/12/28 4:36:47,mid-sep
2025/12/28 4:36:50,middle
2025/12/28 4:36:53,corridor
2025/12/28 4:37:01,side
2025/12/28 4:44:07,corridor
2025/12/28 4:44:07,middle
2025/12/28 4:44:14,mid-sep
2025/12/28 4:44:30,middle
2025/12/28 4:44:41,mid-sep
2025/12/28 4:45:08,middle
2025/12/28 4:45:10,corridor
2025/12/28 4:45:13,side
2025/12/28 5:36:17,corridor
2025/12/28 5:36:18,middle
2025/12/28 5:36:20,mid-sep
2025/12/28 5:36:27,middle
2025/12/28 5:36:40,mid-sep
2025/12/28 5:37:00,middle
2025/12/28 5:37:08,corridor
2025/12/28 5:37:14,side
2025/12/28 5:38:21,corridor
2025/12/28 5:38:21,middle
2025/12/28 5:38:21,mid-sep
2025/12/28 5:38:23,middle
2025/12/28 5:38:35,corridor
2025/12/28 5:38:43,middle
2025/12/28 5:38:46,mid-sep
2025/12/28 5:38:49,middle
2025/12/28 5:42:28,corridor
2025/12/28 5:42:34,side
2025/12/28 5:48:10,corridor
2025/12/28 5:48:11,middle
2025/12/28 5:48:12,mid-sep
2025/12/28 5:48:19,middle
2025/12/28 5:48:32,mid-sep
2025/12/28 5:49:01,middle
2025/12/28 5:49:22,corridor
2025/12/28 5:49:30,side
2025/12/28 5:49:33,corridor
2025/12/28 5:49:33,middle
2025/12/28 5:49:34,mid-sep
2025/12/28 5:50:04,middle
2025/12/28 5:50:10,mid-sep
2025/12/28 5:50:43,middle
2025/12/28 5:50:48,corridor
2025/12/28 5:51:04,side
2025/12/28 5:55:31,corridor
2025/12/28 5:55:33,middle
2025/12/28 5:55:33,mid-sep
2025/12/28 5:55:33,corridor
2025/12/28 5:55:34,side
2025/12/28 6:32:17,corridor
2025/12/28 6:32:18,middle
2025/12/28 6:32:19,mid-sep
2025/12/28 6:32:20,middle
2025/12/28 6:33:15,mid-sep
2025/12/28 6:34:30,middle
2025/12/28 6:34:39,mid-sep
2025/12/28 6:35:21,middle
2025/12/28 6:35:26,mid-sep
2025/12/28 6:35:59,middle
2025/12/28 6:36:02,corridor
