Cday,CT,bin,both_mid,both_midsep
1,10,9,0,0
1,10,10,0,0
1,11,1,0,0
1,11,2,0,0
1,11,3,30.125000000080036,0
1,11,4,12.874999999941792,0
1,11,5,0,0
1,11,6,0,0
1,11,7,62.99999999994179,0
1,11,8,0,0
1,11,9,0,0
1,11,10,0,0
1,12,1,0,0
1,12,2,84.99999999998545,47.999999999956344
1,12,3,0,0
1,12,4,0,0
1,12,5,0,0
1,12,6,0,0
1,12,7,53.00000000009459,0
1,12,8,17.999999999788997,20.000000000116415
1,12,9,0,0
1,12,10,89,32.00000000010186
1,13,1,59.000000000080036,23.999999999985448
1,13,2,0,0
1,13,3,0,0
1,13,4,177.00000000003638,0
1,13,5,0,0
1,13,6,0,0
1,13,7,0,0
1,13,8,0,0
1,13,9,0,0
1,13,10,0,0
1,14,1,0,0
1,14,2,0,0
1,14,3,0,0
1,14,4,0,0
1,14,5,0,0
1,14,6,0,0
1,14,7,13.999999999934516,31.999999999898137
1,14,8,259.5000000000946,26.99999999996362
1,14,9,11.499999999941792,0
1,14,10,0,0
1,15,1,0,0
1,15,2,0,0
1,15,3,0,0
1,15,4,0,0
1,15,5,0,0
1,15,6,0,0
1,15,7,0,0
1,15,8,0,0
1,15,9,0,0
1,15,10,0,0
1,16,1,0,0
1,16,2,0,0
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,16,6,0,0
1,16,7,0,0
1,16,8,0,0
1,16,9,0,0
1,16,10,0,0
1,17,1,0,0
1,17,2,0,0
1,17,3,0,0
1,17,4,0,0
1,17,5,0,0
1,17,6,0,0
1,17,7,0,0
1,17,8,0,0
1,17,9,70,65.00000000026921
1,17,10,2.000000000138243,26.999999999978172
1,18,1,0,0
1,18,2,0,0
1,18,3,0,0
1,18,4,0,0
1,18,5,0,0
1,18,6,0,0
1,18,7,0,0
1,18,8,0,0
1,18,9,0,0
1,18,10,0,0
1,19,1,0,0
1,19,2,0,0
1,19,3,0,0
1,19,4,0,0
1,19,5,0,0
1,19,6,0,0
1,19,7,0,0
1,19,8,0,0
1,19,9,0,0
1,19,10,0,0
1,20,1,0,0
1,20,2,0,0
1,20,3,0,0
1,20,4,0,0
1,20,5,0,0
1,20,6,0,0
1,20,7,0,0
1,20,8,0,0
1,20,9,0,0
1,20,10,0,0
1,21,1,0,0
1,21,2,0,0
1,21,3,0,0
1,21,4,0,0
1,21,5,0,0
1,21,6,0,0
1,21,7,0,0
1,21,8,0,0
1,21,9,0,0
1,21,10,0,0
1,22,1,0,0
1,22,2,0,0
1,22,3,0,0
1,22,4,0,0
1,22,5,0,0
1,22,6,0,0
1,22,7,0,0
1,22,8,0,0
1,22,9,0,0
1,22,10,0,0
1,23,1,0,0
1,23,2,0,0
1,23,3,0,0
1,23,4,0,0
1,23,5,0,0
1,23,6,0,0
1,23,7,0,0
1,23,8,0,0
1,23,9,0,0
1,23,10,0,0
2,0,1,0,0
2,0,2,0,0
2,0,3,27.999999999839474,21.000000000186787
2,0,4,0,0
2,0,5,0,0
2,0,6,0,0
2,0,7,0,0
2,0,8,0,0
2,0,9,0,0
2,0,10,0,0
2,1,1,0,0
2,1,2,0,0
2,1,3,2.0000000001373337,43.99999999988722
2,1,4,72.00000000033924,83.99999999992542
2,1,5,89.00000000005275,18.87499999988904
2,1,6,41.99999999976808,185.12500000012096
2,1,7,5.000000000133696,16.99999999991178
2,1,8,0,0
2,1,9,0,0
2,1,10,0,0
2,2,1,0,0
2,2,2,0,0
2,2,3,0,0
2,2,4,0,0
2,2,5,0,0
2,2,6,0,0
2,2,7,0,0
2,2,8,18.999999999841748,25.000000000047294
2,2,9,0,0
2,2,10,0,0
2,3,1,0,0
2,3,2,0,0
2,3,3,0,0
2,3,4,0,0
2,3,5,0,0
2,3,6,0,0
2,3,7,0,0
2,3,8,0,0
2,3,9,0,0
2,3,10,0,0
2,4,1,0,0
2,4,2,0,0
2,4,3,0,0
2,4,4,0,0
2,4,5,0,0
2,4,6,0,0
2,4,7,0,0
2,4,8,0,0
2,4,9,0,0
2,4,10,0,0
2,5,1,0,0
2,5,2,0,0
2,5,3,10.99999999992724,8
2,5,4,0,0
2,5,5,0,0
2,5,6,0,0
2,5,7,0,0
2,5,8,0,0
2,5,9,0,0
2,5,10,0,0
2,6,1,0,0
2,6,2,0,0
2,6,3,0,0
2,6,4,0,0
2,6,5,0,0
2,6,6,0,0
2,6,7,0,0
2,6,8,0,0
2,6,9,0,0
2,6,10,0,0
2,7,1,0,0
2,7,2,0,0
2,7,3,0,0
2,7,4,0,0
2,7,5,0,0
2,7,6,0,0
2,7,7,0,0
2,7,8,0,0
2,7,9,0,0
2,7,10,0,0
2,8,1,0,0
2,8,2,0,0
2,8,3,0,0
2,8,4,0,0
2,8,5,0,0
2,8,6,7.000000000058208,22.750000000032742
2,8,7,47.99999999995998,9.250000000076398
2,8,8,0,0
2,8,9,0,0
2,8,10,0,0
2,9,1,0,0
2,9,2,0,0
2,9,3,0,0
2,9,4,0,0
2,9,5,0,0
2,9,6,0,0
2,9,7,0,0
2,9,8,23.999999999774445,63.00000000016735
2,9,9,0,0
2,9,10,0,0
2,10,1,0,0
2,10,2,10.999999999919964,8.999999999992724
2,10,3,1.9999999999199645,206.87500000008004
2,10,4,110.99999999989814,150.12500000000728
2,10,5,0,0
2,10,6,0,0
2,10,7,0,0
2,10,8,0,0
2,10,9,0,0
2,10,10,22.00000000003638,7.000000000065484
2,11,1,28.00000000003638,0
2,11,2,1.0000000000654836,12
2,11,3,0,0
2,11,4,7.000000000065484,34.249999999992724
2,11,5,0,2.75
2,11,6,0,0
2,11,7,0,0
2,11,8,0,0
2,11,9,0,0
2,11,10,0,0
2,12,1,0,0
2,12,2,0,212.25000000005093
2,12,3,89.00000000005821,67.74999999996362
2,12,4,0,0
2,12,5,0,0
2,12,6,0,0
2,12,7,0,0
2,12,8,102.99999999991996,34.00000000003638
2,12,9,347.00000000008004,0
2,12,10,131.00000000001455,26.999999999970896
2,13,1,0,0
2,13,2,0,0
2,13,3,0,0
2,13,4,0,0
2,13,5,0,0
2,13,6,0,0
2,13,7,0,0
2,13,8,0,0
2,13,9,0,0
2,13,10,0,0
2,14,1,0,0
2,14,2,0,0
2,14,3,1.0000000000582077,10.99999999992724
2,14,4,4.000000000065484,0
2,14,5,5,168.00000000005093
2,14,6,0,0
2,14,7,0,0
2,14,8,0,0
2,14,9,0,0
2,14,10,0,0
2,15,1,0,0
2,15,2,0,0
2,15,3,0,0
2,15,4,0,0
2,15,5,0,0
2,15,6,0,0
2,15,7,0,0
2,15,8,0,0
2,15,9,0,0
2,15,10,0,0
2,16,1,0,0
2,16,2,0,0
2,16,3,0,0
2,16,4,0,0
2,16,5,0,0
2,16,6,0,0
2,16,7,0,0
2,16,8,0,0
2,16,9,0,0
2,16,10,0,0
2,17,1,0,0
2,17,2,0,0
2,17,3,0,0
2,17,4,0,0
2,17,5,0,0
2,17,6,0,0
2,17,7,0,0
