,Cday,CT,bin_ct,data_ct,both_mid_ct,both_midsep_ct
0,1,0,1,0.0,0.0,0.0
1,1,0,2,0.0,0.0,0.0
2,1,0,3,0.0,0.0,0.0
3,1,0,4,0.0,0.0,0.0
4,1,0,5,0.0,0.0,0.0
5,1,0,6,0.0,0.0,0.0
6,1,0,7,0.0,0.0,0.0
7,1,0,8,0.0,0.0,0.0
8,1,0,9,78.62499999975876,149.25000000060527,3.999999999456122
9,1,0,10,115.8750000000341,231.7500000000682,0.0
10,1,1,1,0.0,0.0,0.0
11,1,1,2,0.0,0.0,0.0
12,1,1,3,0.0,0.0,0.0
13,1,1,4,0.0,0.0,0.0
14,1,1,5,0.0,0.0,0.0
15,1,1,6,0.0,0.0,0.0
16,1,1,7,10.99999999991951,4.000000000271939,8.99999999978354
17,1,1,8,67.50000000003729,115.00000000037471,9.999999999849933
18,1,1,9,0.0,0.0,0.0
19,1,1,10,12.000000000197815,24.00000000039563,0.0
20,1,2,1,0.0,0.0,0.0
21,1,2,2,55.00000000022055,101.99999999990996,4.0000000002655725
22,1,2,3,0.0,0.0,0.0
23,1,2,4,0.0,0.0,0.0
24,1,2,5,0.0,0.0,0.0
25,1,2,6,0.0,0.0,0.0
26,1,2,7,0.0,0.0,0.0
27,1,2,8,0.0,0.0,0.0
28,1,2,9,23.000000000117325,13.999999999714419,16.000000000260115
29,1,2,10,0.9999999998644853,1.9999999997289706,0.0
30,1,3,1,0.9999999998635758,1.9999999997271516,0.0
31,1,3,2,1.000000000068212,2.000000000136424,0.0
32,1,3,3,0.0,0.0,0.0
33,1,3,4,0.0,0.0,0.0
34,1,3,5,0.0,0.0,0.0
35,1,3,6,0.0,0.0,0.0
36,1,3,7,0.0,0.0,0.0
37,1,3,8,0.0,0.0,0.0
38,1,3,9,0.0,0.0,0.0
39,1,3,10,0.0,0.0,0.0
40,1,4,1,15.000000000191903,2.0000000001327862,14.00000000012551
41,1,4,2,0.0,0.0,0.0
42,1,4,3,5.000000000136424,10.000000000272848,0.0
43,1,4,4,28.999999999904503,33.99999999983811,11.999999999985448
44,1,4,5,0.0,0.0,0.0
45,1,4,6,0.0,0.0,0.0
46,1,4,7,0.0,0.0,0.0
47,1,4,8,0.0,0.0,0.0
48,1,4,9,0.0,0.0,0.0
49,1,4,10,0.0,0.0,0.0
50,1,5,1,0.0,0.0,0.0
51,1,5,2,0.0,0.0,0.0
52,1,5,3,0.0,0.0,0.0
53,1,5,4,0.0,0.0,0.0
54,1,5,5,0.0,0.0,0.0
55,1,5,6,0.0,0.0,0.0
56,1,5,7,0.0,0.0,0.0
57,1,5,8,0.0,0.0,0.0
58,1,5,9,0.0,0.0,0.0
59,1,5,10,0.0,0.0,0.0
60,1,6,1,0.0,0.0,0.0
61,1,6,2,0.0,0.0,0.0
62,1,6,3,0.0,0.0,0.0
63,1,6,4,0.0,0.0,0.0
64,1,6,5,0.0,0.0,0.0
65,1,6,6,0.0,0.0,0.0
66,1,6,7,0.0,0.0,0.0
67,1,6,8,4.50000000010732,2.999999999792635,3.0000000002110028
