Cday,CT,bin,data
1,5,3,85
1,5,4,0.355648535564859
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,2.84937238493724
1,6,6,34.2050209205021
1,6,7,133.907949790795
1,6,8,8.78661087866112
1,6,9,87.7071129707112
1,6,10,6.68619246861904
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,38.8075313807529
1,11,8,69.0167364016737
1,11,9,103.953974895397
1,11,10,75.4184100418409
1,12,1,24.2259414225938
1,12,2,2.88702928870302
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,75.0209205020925
1,12,10,90.3430962343096
1,13,1,107.945606694561
1,13,2,39.9958158995821
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,54.0669456066946
1,15,1,46.7531380753133
1,15,2,8.38493723849366
1,15,3,1.25523012552303
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0.518828451882837
1,16,9,0.485355648535567
1,16,10,0
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0
1,17,10,0
1,18,1,0
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
1,18,10,0
1,19,1,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,2.75313807531384
1,19,9,6.61087866108785
1,19,10,4.84518828451886
1,20,1,1.85774058577411
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,24,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,2.07112970711291
1,1,10,32.4058577405843
1,2,1,136.569037656903
1,2,2,69.9581589958158
1,2,3,0.24267782426777
1,2,4,1.76569037656901
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,4.23430962343083
1,3,1,54.3472803347296
1,3,2,134.054393305439
1,3,3,58.0794979079498
1,3,4,54.5564853556488
1,3,5,4.62343096234233
1,3,6,62.991631799163
1,3,7,32.8033472803347
1,3,8,0
1,3,9,0
1,3,10,0
1,4,1,0
1,4,2,3.84937238493645
1,4,3,93.3179916317986
1,4,4,123.853556485355
1,4,5,33.1464435146443
1,4,6,37.8242677824267
1,4,7,30.3514644351462
1,4,8,0
1,4,9,0
1,4,10,0
1,5,1,0
1,5,2,0
2,5,3,0
2,5,4,0
2,5,5,0
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0
2,5,10,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
