,Cday,CT,bin_ct,data_ct,middle_ct,midsep_ct,others_ct
0,1,0,1,180.625,361.25,0.0,0.0
1,1,0,2,182.1249999999983,358.2500000000034,2.9999999999965894,0.0
2,1,0,3,88.75000000017695,135.49999999999193,21.00000000018099,204.74999999982708
3,1,0,4,156.50000000010436,295.00000000021646,8.999999999996135,57.249999999787406
4,1,0,5,180.625,361.25,0.0,0.0
5,1,0,6,180.625,361.25,0.0,0.0
6,1,0,7,210.9999999999584,204.50000000018235,108.74999999986721,47.99999999995043
7,1,0,8,68.25000000015143,107.99999999985903,14.250000000221917,238.99999999991905
8,1,0,9,145.99999999992224,200.00000000020464,45.99999999981992,115.24999999997544
9,1,0,10,203.24999999988654,104.49999999990041,150.99999999993634,105.75000000016325
10,1,1,1,121.25000000006548,60.50000000014461,90.99999999999318,209.7499999998622
11,1,1,2,113.5000000000623,13.000000000058208,107.0000000000332,241.2499999999086
12,1,1,3,86.2499999999136,90.00000000012551,41.24999999985084,230.00000000002365
13,1,1,4,166.2500000000905,174.99999999970805,78.75000000023647,107.50000000005548
14,1,1,5,155.87500000006685,65.74999999994452,123.00000000009459,172.4999999999609
15,1,1,6,190.12499999995407,234.2500000001919,72.99999999985812,53.99999999994998
16,1,1,7,67.62499999973534,51.25000000007276,41.99999999969896,268.0000000002283
17,1,1,8,54.87499999996089,71.75000000023101,18.999999999845386,270.4999999999236
18,1,1,9,36.2499999998563,25.000000000241926,23.749999999735337,312.50000000002274
19,1,1,10,5.75000000010823,0.9999999998599378,5.250000000178261,233.99999999999181
20,1,2,1,,,,
21,1,2,2,,,,
22,1,2,3,,,,
23,1,2,4,,,,
24,1,2,5,,,,
25,1,2,6,58.49999999982265,40.00000000023465,38.499999999705324,163.99999999998727
26,1,2,7,147.50000000023192,169.99999999977626,62.50000000034379,128.74999999987995
27,1,2,8,78.49999999998454,46.99999999993997,55.00000000001455,259.2500000000455
28,1,2,9,40.999999999899046,35.999999999972715,22.99999999991269,302.2499999999636
29,1,2,10,0.0,0.0,0.0,361.25
30,1,3,1,0.0,0.0,0.0,361.25
31,1,3,2,0.0,0.0,0.0,361.25
32,1,3,3,0.0,0.0,0.0,361.25
33,1,3,4,0.0,0.0,0.0,361.25
34,1,3,5,0.0,0.0,0.0,361.25
35,1,3,6,0.0,0.0,0.0,361.25
36,1,3,7,0.0,0.0,0.0,361.25
37,1,3,8,0.0,0.0,0.0,361.25
38,1,3,9,0.0,0.0,0.0,361.25
39,1,3,10,0.0,0.0,0.0,361.25
40,1,4,1,0.0,0.0,0.0,361.25
41,1,4,2,0.0,0.0,0.0,361.25
42,1,4,3,0.0,0.0,0.0,361.25
43,1,4,4,0.0,0.0,0.0,361.25
44,1,4,5,0.0,0.0,0.0,361.25
45,1,4,6,0.0,0.0,0.0,361.25
46,1,4,7,0.0,0.0,0.0,361.25
47,1,4,8,0.0,0.0,0.0,361.25
48,1,4,9,44.1249999999236,10.249999999919964,38.99999999996362,312.0000000001164
49,1,4,10,158.37499999999636,226.7500000000873,44.999999999952706,89.49999999995998
50,1,5,1,131.87500000003274,235.7499999998181,14.000000000123691,111.50000000005821
51,1,5,2,42.625000000043656,21.249999999869033,32.00000000010914,308.0000000000218
52,1,5,3,105.25000000001637,16.00000000005457,97.24999999998909,247.99999999995634
