,Cday,CT,bin_ct,data_ct,middle_ct,midsep_ct,others_ct
0,1,0,1,0.0,0.0,0.0,361.25
1,1,0,2,0.0,0.0,0.0,361.25
2,1,0,3,0.0,0.0,0.0,361.25
3,1,0,4,50.49999999991769,40.99999999990541,29.999999999964984,290.2500000001296
4,1,0,5,0.0,0.0,0.0,361.25
5,1,0,6,0.0,0.0,0.0,361.25
6,1,0,7,6.499999999826741,7.000000000058208,2.9999999997976374,351.25000000014415
7,1,0,8,4.000000000270347,2.0000000001359695,3.0000000002023626,356.24999999966167
8,1,0,9,10.499999999891543,3.000000000201453,8.999999999790816,349.25000000000773
9,1,0,10,29.499999999939064,13.000000000051841,22.999999999913143,325.250000000035
10,1,1,1,0.0,0.0,0.0,361.25
11,1,1,2,0.0,0.0,0.0,361.25
12,1,1,3,0.0,0.0,0.0,361.25
13,1,1,4,0.0,0.0,0.0,361.25
14,1,1,5,0.0,0.0,0.0,361.25
15,1,1,6,0.0,0.0,0.0,361.25
16,1,1,7,0.0,0.0,0.0,361.25
17,1,1,8,66.00000000018099,13.000000000460204,59.49999999995089,288.7499999995889
18,1,1,9,3.499999999996362,3.999999999863576,1.5000000000645741,355.75000000007185
19,1,1,10,34.000000000036835,8.000000000130058,29.999999999971806,323.24999999989814
20,1,2,1,0.0,0.0,0.0,361.25
21,1,2,2,0.0,0.0,0.0,361.25
22,1,2,3,172.49999999953252,129.0000000009095,107.99999999907777,124.25000000001273
23,1,2,4,0.0,0.0,0.0,361.25
24,1,2,5,129.12499999973807,254.25000000002183,1.9999999997271516,105.00000000025102
25,1,2,6,180.625,361.25,0.0,0.0
26,1,2,7,60.00000000015643,100.50000000027285,9.750000000020009,250.99999999970714
27,1,2,8,16.250000000301043,5.999999999994543,13.250000000303771,341.9999999997017
28,1,2,9,0.0,0.0,0.0,361.25
29,1,2,10,0.0,0.0,0.0,361.25
30,1,3,1,0.0,0.0,0.0,361.25
31,1,3,2,0.0,0.0,0.0,361.25
32,1,3,3,0.0,0.0,0.0,361.25
33,1,3,4,0.0,0.0,0.0,361.25
34,1,3,5,0.0,0.0,0.0,361.25
35,1,3,6,0.0,0.0,0.0,361.25
36,1,3,7,0.0,0.0,0.0,361.25
37,1,3,8,0.0,0.0,0.0,361.25
38,1,3,9,0.0,0.0,0.0,361.25
39,1,3,10,0.0,0.0,0.0,361.25
40,1,4,1,0.0,0.0,0.0,361.25
41,1,4,2,0.0,0.0,0.0,361.25
42,1,4,3,108.37500000012369,190.7500000001346,13.000000000056389,157.499999999809
43,1,4,4,95.62499999990268,95.24999999988904,47.99999999995816,218.0000000001528
44,1,4,5,0.0,0.0,0.0,361.25
45,1,4,6,,,,
46,1,4,7,,,,
47,1,4,8,,,,
48,1,4,9,,,,
49,1,4,10,,,,
50,1,5,1,0.0,0.0,0.0,273.7500000000291
51,1,5,2,0.0,0.0,0.0,361.25
52,1,5,3,0.0,0.0,0.0,361.25
53,1,5,4,0.0,0.0,0.0,361.25
54,1,5,5,0.0,0.0,0.0,361.25
55,1,5,6,0.0,0.0,0.0,361.25
56,1,5,7,0.0,0.0,0.0,361.25
57,1,5,8,0.0,0.0,0.0,361.25
58,1,5,9,0.0,0.0,0.0,361.25
59,1,5,10,0.0,0.0,0.0,361.25
60,1,6,1,0.0,0.0,0.0,361.25
61,1,6,2,32.50000000014188,29.000000000312866,17.999999999985448,314.2499999997017
62,1,6,3,65.00000000008549,56.00000000008367,37.000000000043656,268.24999999987267
63,1,6,4,0.0,0.0,0.0,361.25
64,1,6,5,0.0,0.0,0.0,361.25
65,1,6,6,0.0,0.0,0.0,361.25
66,1,6,7,0.0,0.0,0.0,361.25
67,1,6,8,0.0,0.0,0.0,361.25
68,1,6,9,0.0,0.0,0.0,361.25
69,1,6,10,0.0,0.0,0.0,361.25
70,1,7,1,0.0,0.0,0.0,361.25
71,1,7,2,0.0,0.0,0.0,361.25
72,1,7,3,0.0,0.0,0.0,361.25
73,1,7,4,0.0,0.0,0.0,361.25
74,1,7,5,0.0,0.0,0.0,361.25
75,1,7,6,0.0,0.0,0.0,361.25
76,1,7,7,14.499999999745341,22.99999999991269,2.9999999997889972,335.2500000002983
77,1,7,8,0.0,0.0,0.0,361.25
78,1,7,9,0.0,0.0,0.0,361.25
79,1,7,10,0.0,0.0,0.0,361.25
80,1,8,1,0.0,0.0,0.0,361.25
81,1,8,2,0.0,0.0,0.0,361.25
82,1,8,3,0.0,0.0,0.0,361.25
83,1,8,4,0.0,0.0,0.0,361.25
84,1,8,5,0.0,0.0,0.0,361.25
85,1,8,6,0.0,0.0,0.0,361.25
86,1,8,7,0.0,0.0,0.0,361.25
87,1,8,8,5.999999999998181,4.000000000272848,3.999999999861757,353.2499999998654
88,1,8,9,105.50000000015825,168.99999999990905,21.000000000203727,171.24999999988722
89,1,8,10,75.75000000002365,93.49999999943611,29.00000000030559,238.7500000002583
90,1,9,1,15.249999999956344,24.499999999505235,3.000000000203727,333.75000000029104
91,1,9,2,24.500000000007276,22.999999999898137,13.000000000058208,325.25000000004366
92,1,9,3,0.0,0.0,0.0,361.25
93,1,9,4,21.99999999983993,7.999999999723514,17.999999999978172,335.2500000002983
94,1,9,5,0.0,0.0,0.0,361.25
95,1,9,6,0.0,0.0,0.0,361.25
96,1,9,7,0.0,0.0,0.0,361.25
97,1,9,8,0.0,0.0,0.0,361.25
98,1,9,9,0.0,0.0,0.0,361.25
99,1,9,10,0.0,0.0,0.0,361.25
100,1,10,1,0.0,0.0,0.0,361.25
101,1,10,2,0.0,0.0,0.0,361.25
102,1,10,3,0.0,0.0,0.0,361.25
103,1,10,4,35.999999999956344,38.00000000008731,16.99999999991269,306.25
104,1,10,5,7.000000000065484,2.000000000145519,5.999999999992724,353.24999999986176
105,1,10,6,4.499999999894499,1.0000000000654836,3.999999999861757,356.25000000007276
106,1,10,7,0.0,0.0,0.0,361.25
