,Cday,CT,bin,data,both_mid,both_midsep
0,1,1,5,15.0,10.0,10.0
1,1,1,6,1.5,3.0,0.0
2,1,3,8,50.0,48.0,26.0
3,1,7,10,36.0,26.0,23.0
4,1,9,6,0.5,1.0,0.0
5,1,9,7,10.0,2.0,9.0
6,1,10,4,17.5,19.0,8.0
7,1,10,5,3.5,3.0,2.0
8,1,10,9,0.5,1.0,0.0
9,1,11,3,54.0,8.0,50.0
10,1,11,6,0.5,1.0,0.0
11,1,11,8,6.5,13.0,0.0
12,1,12,3,15.0,4.0,13.0
13,1,12,4,3.5,1.0,3.0
14,1,12,5,22.0,4.0,20.0
15,1,13,1,16.0,2.0,15.0
16,1,13,4,2.5,5.0,0.0
17,1,13,6,12.0,6.0,9.0
18,1,13,7,24.0,2.0,23.0
19,1,13,10,32.0,22.0,21.0
20,1,14,7,14.0,4.0,12.0
21,1,14,10,9.0,8.0,5.0
22,1,15,2,9.5,3.0,8.0
23,1,15,8,50.0,2.0,49.0
24,1,16,7,0.5,1.0,0.0
25,1,17,6,10.0,12.0,4.0
26,1,22,9,7.5,5.0,5.0
27,1,22,10,9.0,2.0,8.0
28,1,23,2,16.0,0.0,16.0
29,1,23,4,67.0,2.0,66.0
30,1,23,5,106.5,7.0,103.0
31,1,23,8,5.5,11.0,0.0
32,2,1,2,9.0,2.0,8.0
33,2,1,3,9.0,18.0,0.0
34,2,3,4,2.5,5.0,0.0
35,2,11,2,14.5,1.0,14.0
36,2,11,3,2.0,4.0,0.0
37,2,11,8,3.5,7.0,0.0
38,2,12,2,8.0,4.0,6.0
39,2,12,4,9.5,3.0,8.0
40,2,12,6,1.5,3.0,0.0
41,2,12,8,9.0,2.0,8.0
42,2,12,9,38.0,2.0,37.0
43,2,13,4,64.0,26.0,51.0
44,2,13,5,9.5,3.0,8.0
45,2,13,8,5.0,4.0,3.0
46,2,13,9,4.5,1.0,4.0
47,2,14,3,29.5,25.0,17.0
48,2,14,7,7.5,15.0,0.0
49,2,14,9,10.0,2.0,9.0
50,2,14,10,58.0,14.0,51.0
51,2,15,10,34.0,2.0,33.0
52,2,16,5,34.0,60.0,4.0
53,2,16,6,43.5,1.0,43.0
54,2,16,7,54.5,27.0,41.0
55,2,16,8,2.0,4.0,0.0
56,2,16,10,2.5,5.0,0.0
57,2,17,1,32.0,4.0,30.0
58,2,18,10,1.0,2.0,0.0
59,2,19,1,1.5,3.0,0.0
60,2,19,2,34.0,6.0,31.0
61,2,19,10,9.5,19.0,0.0
62,2,20,1,22.5,13.0,16.0
63,2,20,2,2.5,3.0,1.0
64,2,20,3,15.5,13.0,9.0
65,2,21,9,14.0,8.0,10.0
66,2,22,4,11.5,15.0,4.0
67,2,23,2,21.0,24.0,9.0
68,2,23,4,31.5,3.0,30.0
69,2,23,9,26.0,12.0,20.0
70,3,1,5,46.0,16.0,38.0
71,3,1,7,34.0,10.0,29.0
72,3,3,3,13.5,19.0,4.0
73,3,3,5,21.0,14.0,14.0
74,3,3,6,4.0,2.0,3.0
75,3,5,5,6.5,13.0,0.0
76,3,6,10,12.0,0.0,12.0
77,3,11,1,18.5,15.0,11.0
78,3,11,7,1.0,0.0,1.0
79,3,11,8,71.0,42.0,50.0
80,3,12,4,8.5,3.0,7.0
81,3,12,5,1.5,1.0,1.0
82,3,12,6,4.0,8.0,0.0
83,3,12,8,14.5,5.0,12.0
84,3,13,4,3.5,3.0,2.0
85,3,13,8,42.5,5.0,40.0
86,3,14,9,25.5,15.0,18.0
87,3,15,10,25.5,3.0,24.0
88,3,16,4,28.0,2.0,27.0
89,3,17,8,28.0,4.0,26.0
90,3,18,1,49.0,42.0,28.0
91,3,18,6,9.0,18.0,0.0
92,3,18,8,34.5,7.0,31.0
93,3,20,9,37.0,6.0,34.0
94,3,23,5,39.0,20.0,29.0
95,3,23,6,3.0,2.0,2.0
96,3,23,8,36.5,39.0,17.0
97,3,23,9,8.5,11.0,3.0
98,4,0,4,43.0,4.0,41.0
99,4,1,4,48.5,95.0,1.0
100,4,1,5,7.0,14.0,0.0
101,4,1,6,29.5,35.0,12.0
102,4,1,9,28.5,37.0,10.0
103,4,2,3,9.5,19.0,0.0
104,4,2,4,13.5,5.0,11.0
105,4,2,5,11.5,3.0,10.0
106,4,5,3,10.5,17.0,2.0
107,4,9,6,9.5,3.0,8.0
108,4,11,4,33.5,27.0,20.0
109,4,11,7,20.0,6.0,17.0
110,4,11,9,13.0,18.0,4.0
111,4,12,3,12.5,5.0,10.0
112,4,12,9,6.0,6.0,3.0
113,4,13,3,14.5,1.0,14.0
114,4,13,4,1.5,1.0,1.0
115,4,13,5,22.0,4.0,20.0
116,4,13,6,2.5,5.0,0.0
117,4,14,3,32.0,14.0,25.0
118,4,15,9,0.5,1.0,0.0
119,4,16,3,22.5,3.0,21.0
120,4,16,10,11.5,15.0,4.0
121,4,17,1,7.0,10.0,2.0
122,4,17,3,55.5,11.0,50.0
123,4,18,6,6.0,12.0,0.0
124,4,19,4,40.0,44.0,18.0
125,4,20,4,3.0,2.0,2.0
126,4,20,5,12.5,1.0,12.0
127,4,22,1,34.0,4.0,32.0
128,4,22,2,2.0,4.0,0.0
129,4,23,7,51.5,65.0,19.0
130,5,1,1,9.0,12.0,3.0
131,5,1,3,5.0,4.0,3.0
132,5,1,4,3.5,7.0,0.0
133,5,3,3,17.5,21.0,7.0
134,5,3,4,26.0,26.0,13.0
135,5,9,8,4.0,8.0,0.0
136,5,12,7,1.5,3.0,0.0
137,5,12,9,10.5,21.0,0.0
138,5,13,2,14.5,13.0,8.0
139,5,13,5,51.5,1.0,51.0
140,5,13,6,9.5,3.0,8.0
141,5,14,4,9.5,19.0,0.0
142,5,14,5,27.5,33.0,11.0
143,5,15,1,5.5,11.0,0.0
144,5,16,6,7.0,14.0,0.0
145,5,16,9,4.0,4.0,2.0
146,5,16,10,9.5,7.0,6.0
147,5,17,5,55.0,54.0,28.0
148,5,22,8,12.5,1.0,12.0
149,5,22,10,39.5,3.0,38.0
150,5,23,2,34.5,37.0,16.0
151,5,23,3,17.5,35.0,0.0
152,6,0,3,67.5,71.0,32.0
153,6,0,4,48.0,36.0,30.0
154,6,1,8,49.0,6.0,46.0
155,6,1,9,12.0,12.0,6.0
156,6,2,3,52.0,26.0,39.0
157,6,2,4,3.5,7.0,0.0
158,6,2,5,13.0,26.0,0.0
159,6,10,3,0.5,1.0,0.0
160,6,11,1,33.5,5.0,31.0
161,6,11,10,9.0,4.0,7.0
162,6,12,3,0.5,1.0,0.0
163,6,12,5,4.0,8.0,0.0
164,6,13,3,9.0,4.0,7.0
165,6,13,6,8.5,7.0,5.0
166,6,13,10,24.0,16.0,16.0
167,6,14,3,5.0,10.0,0.0
168,6,14,4,12.0,24.0,0.0
169,6,14,7,62.5,73.0,26.0
170,6,14,9,38.0,2.0,37.0
171,6,18,8,12.0,20.0,2.0
172,6,19,1,19.0,12.0,13.0
173,6,19,3,53.0,10.0,48.0
174,6,22,3,35.5,7.0,32.0
175,6,22,4,44.0,52.0,18.0
176,6,22,5,4.5,9.0,0.0
177,6,22,6,57.0,20.0,47.0
178,6,23,7,42.0,8.0,38.0
179,6,23,9,9.0,6.0,6.0
180,7,0,1,24.5,19.0,15.0
181,7,0,2,40.5,3.0,39.0
182,7,1,5,92.0,46.0,69.0
183,7,1,6,10.0,14.0,3.0
184,7,1,7,13.5,21.0,3.0
185,7,1,9,4.5,7.0,1.0
186,7,9,3,26.0,16.0,18.0
187,7,11,9,41.5,19.0,32.0
188,7,12,3,7.0,14.0,0.0
189,7,12,5,14.0,10.0,9.0
190,7,12,8,9.0,18.0,0.0
191,7,12,9,61.0,72.0,25.0
192,7,13,2,18.0,8.0,14.0
193,7,13,7,17.0,10.0,12.0
194,7,13,9,79.0,24.0,67.0
195,7,13,10,10.5,1.0,10.0
196,7,14,1,20.0,28.0,6.0
197,7,14,2,25.0,22.0,14.0
198,7,14,7,24.0,2.0,23.0
199,7,14,8,33.5,3.0,32.0
200,7,14,9,112.0,102.0,61.0
201,7,15,7,31.5,13.0,25.0
202,7,15,8,11.0,4.0,9.0
203,7,15,9,35.5,57.0,7.0
204,7,16,7,37.0,28.0,23.0
205,7,17,6,72.0,84.0,30.0
206,7,17,8,35.0,44.0,13.0
207,7,17,9,74.5,21.0,64.0
208,7,17,10,2.0,2.0,1.0
209,7,18,4,28.0,40.0,8.0
210,7,18,5,14.0,28.0,0.0
211,7,23,6,23.5,25.0,11.0
212,7,23,7,25.0,46.0,2.0
213,7,23,9,6.0,4.0,4.0
