,Cday,CT,bin,data
265,2,2,6,0.0
266,2,2,7,0.0
267,2,2,8,0.0
268,2,2,9,0.0
269,2,2,10,0.0
270,2,3,1,0.0
271,2,3,2,0.0
272,2,3,3,0.0
273,2,3,4,0.0
274,2,3,5,0.0
275,2,3,6,0.0
276,2,3,7,0.0
277,2,3,8,0.0
278,2,3,9,0.0
279,2,3,10,0.0
280,2,4,1,0.0
281,2,4,2,0.0
282,2,4,3,0.0
283,2,4,4,0.0
284,2,4,5,0.0
285,2,4,6,0.0
286,2,4,7,0.0
287,2,4,8,0.0
288,2,4,9,0.0
289,2,4,10,0.0
290,2,5,1,0.0
291,2,5,2,0.0
292,2,5,3,0.0
293,2,5,4,0.0
294,2,5,5,0.0
295,2,5,6,0.0
296,2,5,7,0.0
297,2,5,8,0.0
298,2,5,9,0.0
299,2,5,10,0.0
300,2,6,1,0.0
301,2,6,2,0.0
302,2,6,3,0.0
303,2,6,4,0.0
304,2,6,5,0.0
305,2,6,6,0.0
306,2,6,7,0.0
307,2,6,8,0.0
308,2,6,9,0.0
309,2,6,10,0.0
310,2,7,1,0.0
311,2,7,2,0.0
312,2,7,3,0.0
313,2,7,4,0.0
314,2,7,5,0.0
315,2,7,6,0.0
316,2,7,7,0.0
317,2,7,8,0.0
318,2,7,9,0.0
319,2,7,10,0.0
320,2,8,1,0.0
321,2,8,2,0.0
322,2,8,3,0.0
323,2,8,4,0.0
324,2,8,5,0.0
325,2,8,6,0.0
326,2,8,7,0.0
327,2,8,8,0.0
328,2,8,9,0.0
329,2,8,10,0.0
330,2,9,1,0.0
331,2,9,2,0.0
332,2,9,3,0.0
333,2,9,4,0.0
334,2,9,5,0.0
335,2,9,6,0.0
336,2,9,7,0.0
337,2,9,8,0.0
338,2,9,9,0.0
339,2,9,10,0.0
340,2,10,1,0.0
341,2,10,2,0.0
342,2,10,3,0.0
343,2,10,4,1.0
344,2,10,5,2.0
345,2,10,6,0.0
346,2,10,7,0.0
347,2,10,8,0.0
348,2,10,9,0.0
349,2,10,10,0.0
350,2,11,1,0.0
351,2,11,2,0.0
352,2,11,3,0.0
353,2,11,4,0.0
354,2,11,5,0.0
355,2,11,6,0.0
356,2,11,7,0.0
357,2,11,8,0.0
358,2,11,9,0.0
359,2,11,10,0.0
360,2,12,1,114.0
361,2,12,2,115.0
362,2,12,3,0.0
363,2,12,4,86.0
364,2,12,5,0.0
365,2,12,6,91.0
366,2,12,7,0.0
367,2,12,8,51.0
368,2,12,9,99.0
369,2,12,10,0.0
370,2,13,1,0.0
371,2,13,2,70.0
372,2,13,3,39.0
373,2,13,4,0.0
374,2,13,5,0.0
375,2,13,6,79.0
376,2,13,7,59.0
377,2,13,8,53.0
378,2,13,9,0.0
379,2,13,10,0.0
380,2,14,1,0.0
381,2,14,2,0.0
382,2,14,3,0.0
383,2,14,4,0.0
384,2,14,5,16.0
385,2,14,6,0.0
386,2,14,7,151.0
387,2,14,8,130.0
388,2,14,9,0.0
389,2,14,10,103.0
390,2,15,1,104.0
391,2,15,2,86.0
392,2,15,3,0.0
393,2,15,4,120.0
394,2,15,5,89.0
395,2,15,6,1.0
396,2,15,7,0.0
397,2,15,8,0.0
398,2,15,9,123.0
399,2,15,10,0.0
400,2,16,1,0.0
401,2,16,2,0.0
402,2,16,3,85.0
403,2,16,4,109.0
404,2,16,5,0.0
405,2,16,6,80.0
406,2,16,7,105.0
407,2,16,8,0.0
408,2,16,9,66.0
409,2,16,10,0.0
410,2,17,1,95.0
411,2,17,2,0.0
412,2,17,3,92.0
413,2,17,4,79.0
414,2,17,5,91.0
415,2,17,6,92.0
416,2,17,7,0.0
417,2,17,8,78.0
418,2,17,9,0.0
419,2,17,10,0.0
420,2,18,1,0.0
421,2,18,2,0.0
422,2,18,3,36.0
423,2,18,4,0.0
424,2,18,5,0.0
425,2,18,6,6.0
426,2,18,7,0.0
427,2,18,8,0.0
428,2,18,9,0.0
429,2,18,10,0.0
430,2,19,1,0.0
431,2,19,2,0.0
432,2,19,3,0.0
433,2,19,4,75.0
434,2,19,5,52.0
435,2,19,6,0.0
436,2,19,7,65.0
437,2,19,8,0.0
438,2,19,9,31.0
439,2,19,10,0.0
440,2,20,1,23.0
441,2,20,2,0.0
442,2,20,3,0.0
443,2,20,4,0.0
444,2,20,5,0.0
445,2,20,6,0.0
446,2,20,7,0.0
447,2,20,8,0.0
448,2,20,9,0.0
449,2,20,10,0.0
450,2,21,1,0.0
451,2,21,2,0.0
452,2,21,3,0.0
453,2,21,4,0.0
454,2,21,5,0.0
455,2,21,6,0.0
456,2,21,7,0.0
457,2,21,8,0.0
458,2,21,9,0.0
459,2,21,10,54.0
460,2,22,1,0.0
461,2,22,2,0.0
462,2,22,3,0.0
463,2,22,4,0.0
464,2,22,5,0.0
465,2,22,6,0.0
466,2,22,7,0.0
467,2,22,8,0.0
468,2,22,9,0.0
469,2,22,10,0.0
470,2,23,1,0.0
471,2,23,2,0.0
472,2,23,3,0.0
473,2,23,4,0.0
474,2,23,5,0.0
475,2,23,6,0.0
476,2,23,7,0.0
477,2,23,8,80.0
478,2,23,9,0.0
479,2,23,10,57.0
480,3,0,1,0.0
481,3,0,2,0.0
482,3,0,3,0.0
483,3,0,4,0.0
484,3,0,5,0.0
485,3,0,6,0.0
486,3,0,7,0.0
487,3,0,8,0.0
488,3,0,9,0.0
489,3,0,10,0.0
490,3,1,1,0.0
491,3,1,2,0.0
492,3,1,3,0.0
493,3,1,4,0.0
494,3,1,5,0.0
495,3,1,6,0.0
496,3,1,7,0.0
497,3,1,8,0.0
498,3,1,9,0.0
499,3,1,10,0.0
500,3,2,1,0.0
501,3,2,2,0.0
502,3,2,3,0.0
503,3,2,4,0.0
504,3,2,5,2.0
505,3,2,6,0.0
506,3,2,7,0.0
507,3,2,8,0.0
508,3,2,9,0.0
509,3,2,10,0.0
510,3,3,1,0.0
511,3,3,2,0.0
512,3,3,3,0.0
513,3,3,4,0.0
514,3,3,5,0.0
515,3,3,6,0.0
516,3,3,7,0.0
517,3,3,8,0.0
518,3,3,9,0.0
519,3,3,10,0.0
520,3,4,1,0.0
521,3,4,2,0.0
522,3,4,3,0.0
523,3,4,4,0.0
524,3,4,5,0.0
525,3,4,6,0.0
526,3,4,7,0.0
527,3,4,8,0.0
528,3,4,9,0.0
529,3,4,10,0.0
530,3,5,1,0.0
531,3,5,2,0.0
532,3,5,3,0.0
533,3,5,4,0.0
534,3,5,5,0.0
535,3,5,6,0.0
536,3,5,7,0.0
537,3,5,8,0.0
538,3,5,9,0.0
539,3,5,10,0.0
540,3,6,1,0.0
541,3,6,2,0.0
542,3,6,3,0.0
543,3,6,4,0.0
544,3,6,5,0.0
545,3,6,6,0.0
546,3,6,7,0.0
547,3,6,8,0.0
548,3,6,9,0.0
549,3,6,10,0.0
550,3,7,1,0.0
551,3,7,2,0.0
552,3,7,3,0.0
553,3,7,4,0.0
554,3,7,5,0.0
555,3,7,6,0.0
556,3,7,7,0.0
557,3,7,8,0.0
558,3,7,9,0.0
559,3,7,10,0.0
560,3,8,1,0.0
561,3,8,2,0.0
562,3,8,3,0.0
563,3,8,4,0.0
564,3,8,5,0.0
565,3,8,6,0.0
566,3,8,7,0.0
567,3,8,8,0.0
568,3,8,9,0.0
569,3,8,10,0.0
570,3,9,1,0.0
571,3,9,2,0.0
572,3,9,3,0.0
573,3,9,4,0.0
574,3,9,5,0.0
575,3,9,6,0.0
576,3,9,7,0.0
577,3,9,8,0.0
578,3,9,9,0.0
579,3,9,10,0.0
580,3,10,1,0.0
581,3,10,2,0.0
582,3,10,3,0.0
583,3,10,4,0.0
584,3,10,5,0.0
585,3,10,6,0.0
586,3,10,7,0.0
587,3,10,8,0.0
588,3,10,9,0.0
589,3,10,10,0.0
590,3,11,1,0.0
591,3,11,2,0.0
592,3,11,3,0.0
593,3,11,4,0.0
594,3,11,5,0.0
595,3,11,6,0.0
596,3,11,7,0.0
597,3,11,8,0.0
598,3,11,9,0.0
599,3,11,10,0.0
600,3,12,1,0.0
601,3,12,2,0.0
602,3,12,3,86.0
603,3,12,4,125.0
604,3,12,5,85.0
605,3,12,6,90.0
606,3,12,7,113.0
607,3,12,8,63.0
608,3,12,9,0.0
609,3,12,10,88.0
610,3,13,1,74.0
611,3,13,2,6.0
612,3,13,3,0.0
613,3,13,4,0.0
614,3,13,5,0.0
615,3,13,6,109.0
616,3,13,7,101.0
617,3,13,8,0.0
618,3,13,9,0.0
619,3,13,10,0.0
620,3,14,1,0.0
621,3,14,2,0.0
622,3,14,3,0.0
623,3,14,4,0.0
624,3,14,5,0.0
625,3,14,6,0.0
626,3,14,7,0.0
627,3,14,8,0.0
628,3,14,9,0.0
629,3,14,10,0.0
630,3,15,1,0.0
631,3,15,2,0.0
632,3,15,3,0.0
633,3,15,4,115.0
634,3,15,5,125.0
635,3,15,6,0.0
636,3,15,7,0.0
637,3,15,8,82.0
638,3,15,9,0.0
639,3,15,10,0.0
640,3,16,1,0.0
641,3,16,2,55.0
642,3,16,3,0.0
643,3,16,4,0.0
644,3,16,5,35.0
645,3,16,6,0.0
646,3,16,7,12.0
647,3,16,8,0.0
648,3,16,9,0.0
649,3,16,10,0.0
650,3,17,1,0.0
651,3,17,2,0.0
652,3,17,3,90.0
653,3,17,4,43.0
654,3,17,5,0.0
655,3,17,6,0.0
656,3,17,7,0.0
657,3,17,8,26.0
658,3,17,9,0.0
659,3,17,10,132.0
660,3,18,1,69.0
661,3,18,2,0.0
662,3,18,3,41.0
663,3,18,4,0.0
664,3,18,5,0.0
665,3,18,6,0.0
666,3,18,7,0.0
667,3,18,8,0.0
668,3,18,9,0.0
669,3,18,10,0.0
670,3,19,1,0.0
671,3,19,2,0.0
672,3,19,3,0.0
673,3,19,4,0.0
674,3,19,5,0.0
675,3,19,6,0.0
676,3,19,7,0.0
677,3,19,8,0.0
678,3,19,9,0.0
679,3,19,10,0.0
680,3,20,1,0.0
681,3,20,2,0.0
682,3,20,3,0.0
683,3,20,4,0.0
684,3,20,5,0.0
685,3,20,6,0.0
686,3,20,7,0.0
687,3,20,8,0.0
688,3,20,9,0.0
689,3,20,10,0.0
690,3,21,1,62.0
691,3,21,2,0.0
692,3,21,3,0.0
693,3,21,4,25.0
694,3,21,5,111.0
695,3,21,6,0.0
696,3,21,7,72.0
697,3,21,8,14.0
698,3,21,9,0.0
699,3,21,10,16.0
700,3,22,1,0.0
701,3,22,2,0.0
702,3,22,3,0.0
703,3,22,4,0.0
704,3,22,5,0.0
705,3,22,6,0.0
706,3,22,7,0.0
707,3,22,8,95.0
708,3,22,9,101.0
709,3,22,10,50.0
710,3,23,1,0.0
711,3,23,2,50.0
712,3,23,3,52.0
713,3,23,4,92.0
714,3,23,5,34.0
715,3,23,6,52.0
716,3,23,7,41.0
717,3,23,8,16.0
718,3,23,9,84.0
719,3,23,10,31.0
720,4,0,1,0.0
721,4,0,2,0.0
722,4,0,3,0.0
723,4,0,4,0.0
724,4,0,5,0.0
725,4,0,6,0.0
726,4,0,7,0.0
727,4,0,8,0.0
728,4,0,9,0.0
729,4,0,10,0.0
730,4,1,1,0.0
731,4,1,2,0.0
732,4,1,3,0.0
733,4,1,4,0.0
734,4,1,5,0.0
735,4,1,6,0.0
736,4,1,7,0.0
737,4,1,8,0.0
738,4,1,9,0.0
739,4,1,10,0.0
740,4,2,1,0.0
741,4,2,2,0.0
742,4,2,3,0.0
743,4,2,4,0.0
744,4,2,5,1.0
745,4,2,6,0.0
746,4,2,7,0.0
747,4,2,8,0.0
748,4,2,9,0.0
749,4,2,10,0.0
750,4,3,1,0.0
751,4,3,2,0.0
752,4,3,3,0.0
753,4,3,4,0.0
754,4,3,5,0.0
755,4,3,6,0.0
756,4,3,7,0.0
757,4,3,8,0.0
758,4,3,9,0.0
759,4,3,10,0.0
760,4,4,1,0.0
761,4,4,2,0.0
762,4,4,3,0.0
763,4,4,4,0.0
764,4,4,5,0.0
765,4,4,6,0.0
766,4,4,7,0.0
767,4,4,8,0.0
768,4,4,9,0.0
769,4,4,10,0.0
770,4,5,1,0.0
771,4,5,2,0.0
772,4,5,3,0.0
773,4,5,4,0.0
774,4,5,5,0.0
775,4,5,6,0.0
776,4,5,7,0.0
777,4,5,8,0.0
778,4,5,9,0.0
779,4,5,10,0.0
780,4,6,1,0.0
781,4,6,2,0.0
782,4,6,3,0.0
783,4,6,4,0.0
784,4,6,5,0.0
785,4,6,6,0.0
786,4,6,7,0.0
787,4,6,8,0.0
788,4,6,9,0.0
789,4,6,10,0.0
790,4,7,1,0.0
791,4,7,2,0.0
792,4,7,3,0.0
793,4,7,4,0.0
794,4,7,5,0.0
795,4,7,6,0.0
796,4,7,7,0.0
797,4,7,8,0.0
798,4,7,9,0.0
799,4,7,10,0.0
800,4,8,1,0.0
801,4,8,2,0.0
802,4,8,3,0.0
803,4,8,4,0.0
804,4,8,5,0.0
805,4,8,6,0.0
806,4,8,7,0.0
807,4,8,8,0.0
808,4,8,9,0.0
809,4,8,10,0.0
810,4,9,1,0.0
811,4,9,2,0.0
812,4,9,3,0.0
813,4,9,4,0.0
814,4,9,5,0.0
815,4,9,6,0.0
816,4,9,7,0.0
817,4,9,8,0.0
818,4,9,9,0.0
819,4,9,10,0.0
820,4,10,1,0.0
821,4,10,2,0.0
822,4,10,3,0.0
823,4,10,4,0.0
824,4,10,5,1.0
825,4,10,6,0.0
826,4,10,7,0.0
827,4,10,8,0.0
828,4,10,9,0.0
829,4,10,10,0.0
830,4,11,1,0.0
831,4,11,2,0.0
832,4,11,3,0.0
833,4,11,4,0.0
834,4,11,5,0.0
835,4,11,6,0.0
836,4,11,7,0.0
837,4,11,8,0.0
838,4,11,9,0.0
839,4,11,10,0.0
840,4,12,1,111.0
841,4,12,2,107.0
842,4,12,3,0.0
843,4,12,4,44.0
844,4,12,5,111.0
845,4,12,6,49.0
846,4,12,7,0.0
847,4,12,8,0.0
848,4,12,9,70.0
849,4,12,10,36.0
850,4,13,1,0.0
851,4,13,2,80.0
852,4,13,3,37.0
853,4,13,4,21.0
854,4,13,5,0.0
855,4,13,6,0.0
856,4,13,7,56.0
857,4,13,8,0.0
858,4,13,9,0.0
859,4,13,10,25.0
860,4,14,1,0.0
861,4,14,2,0.0
862,4,14,3,0.0
863,4,14,4,0.0
864,4,14,5,0.0
865,4,14,6,0.0
866,4,14,7,0.0
867,4,14,8,0.0
868,4,14,9,0.0
869,4,14,10,0.0
870,4,15,1,0.0
871,4,15,2,0.0
872,4,15,3,0.0
873,4,15,4,8.0
874,4,15,5,114.0
875,4,15,6,49.0
876,4,15,7,85.0
877,4,15,8,20.0
878,4,15,9,0.0
879,4,15,10,0.0
880,4,16,1,0.0
881,4,16,2,0.0
882,4,16,3,0.0
883,4,16,4,0.0
884,4,16,5,0.0
885,4,16,6,0.0
886,4,16,7,0.0
887,4,16,8,0.0
888,4,16,9,82.0
889,4,16,10,0.0
890,4,17,1,0.0
891,4,17,2,15.0
892,4,17,3,0.0
893,4,17,4,117.0
894,4,17,5,0.0
895,4,17,6,13.0
896,4,17,7,69.0
897,4,17,8,0.0
898,4,17,9,0.0
899,4,17,10,69.0
900,4,18,1,0.0
901,4,18,2,0.0
902,4,18,3,0.0
903,4,18,4,0.0
904,4,18,5,0.0
905,4,18,6,0.0
906,4,18,7,0.0
907,4,18,8,0.0
908,4,18,9,0.0
909,4,18,10,0.0
910,4,19,1,0.0
911,4,19,2,0.0
912,4,19,3,0.0
913,4,19,4,0.0
914,4,19,5,0.0
915,4,19,6,73.0
916,4,19,7,0.0
917,4,19,8,30.0
918,4,19,9,0.0
919,4,19,10,0.0
920,4,20,1,0.0
921,4,20,2,0.0
922,4,20,3,0.0
923,4,20,4,0.0
924,4,20,5,0.0
925,4,20,6,0.0
926,4,20,7,0.0
927,4,20,8,0.0
928,4,20,9,0.0
929,4,20,10,0.0
930,4,21,1,0.0
931,4,21,2,0.0
932,4,21,3,0.0
933,4,21,4,0.0
934,4,21,5,0.0
935,4,21,6,0.0
936,4,21,7,0.0
937,4,21,8,0.0
938,4,21,9,67.0
939,4,21,10,87.0
940,4,22,1,41.0
941,4,22,2,34.0
942,4,22,3,0.0
943,4,22,4,0.0
944,4,22,5,0.0
945,4,22,6,11.0
946,4,22,7,0.0
947,4,22,8,0.0
948,4,22,9,0.0
949,4,22,10,0.0
950,4,23,1,31.0
951,4,23,2,53.0
