,Cday,CT,bin,data,both_mid,both_midsep
0,1,0,7,12.0,24.0,0.0
1,1,10,10,0.5,1.0,0.0
2,1,11,3,1.5,3.0,0.0
3,1,11,4,3.0,6.0,0.0
4,1,11,8,4.5,9.0,0.0
5,1,11,9,2.0,4.0,0.0
6,1,11,10,9.5,19.0,0.0
7,1,12,9,1.0,2.0,0.0
8,1,14,1,6.0,12.0,0.0
9,1,14,8,1.5,3.0,0.0
10,1,15,2,5.5,11.0,0.0
11,1,15,3,23.0,20.0,13.0
12,1,15,10,2.5,5.0,0.0
13,1,16,4,0.5,1.0,0.0
14,1,16,6,9.5,9.0,5.0
15,1,16,10,1.5,3.0,0.0
16,1,17,3,20.5,41.0,0.0
17,1,17,4,88.0,176.0,0.0
18,1,17,5,0.5,1.0,0.0
19,1,17,7,5.5,11.0,0.0
20,1,18,2,5.0,10.0,0.0
21,1,18,4,1.5,3.0,0.0
22,1,18,7,1.0,2.0,0.0
23,1,18,8,15.0,10.0,10.0
24,1,19,1,26.5,33.0,10.0
25,1,19,3,6.0,4.0,4.0
26,1,19,4,2.0,2.0,1.0
27,1,19,5,13.0,2.0,12.0
28,1,19,6,55.0,42.0,34.0
29,1,19,7,117.5,33.0,101.0
30,1,21,1,2.5,3.0,1.0
31,1,21,2,2.5,5.0,0.0
32,1,21,3,9.5,15.0,2.0
33,1,21,4,16.5,33.0,0.0
34,1,22,3,3.0,6.0,0.0
35,1,22,4,6.0,12.0,0.0
36,1,22,6,32.0,34.0,15.0
37,1,22,8,1.5,3.0,0.0
38,1,22,9,20.0,18.0,11.0
39,1,23,2,12.5,25.0,0.0
40,1,23,3,6.0,12.0,0.0
41,2,12,2,0.5,1.0,0.0
42,2,12,3,10.0,20.0,0.0
43,2,13,10,25.5,35.0,8.0
44,2,14,2,14.0,28.0,0.0
45,2,14,3,16.5,31.0,1.0
46,2,14,4,1.0,2.0,0.0
47,2,14,6,4.0,8.0,0.0
48,2,14,10,8.5,17.0,0.0
49,2,15,3,3.0,6.0,0.0
50,2,15,5,2.5,5.0,0.0
51,2,15,10,1.5,3.0,0.0
52,2,16,5,1.5,3.0,0.0
53,2,16,8,0.5,1.0,0.0
54,2,16,10,3.5,3.0,2.0
55,2,17,4,19.5,15.0,12.0
56,2,17,6,4.5,9.0,0.0
57,2,17,9,8.0,2.0,7.0
58,2,19,9,2.5,5.0,0.0
59,3,12,2,7.0,6.0,4.0
60,3,12,5,14.0,28.0,0.0
61,3,12,7,11.5,23.0,0.0
62,3,13,2,19.5,39.0,0.0
63,3,13,3,25.0,50.0,0.0
64,3,13,4,3.5,7.0,0.0
65,3,13,8,54.5,109.0,0.0
66,3,13,9,62.5,125.0,0.0
67,3,13,10,22.5,45.0,0.0
68,3,14,2,19.5,39.0,0.0
69,3,14,3,14.5,29.0,0.0
70,3,14,5,112.0,224.0,0.0
71,3,14,6,5.5,11.0,0.0
72,3,14,7,0.5,1.0,0.0
73,3,14,8,8.5,17.0,0.0
74,3,14,9,21.0,42.0,0.0
75,3,14,10,1.0,2.0,0.0
76,3,15,2,16.5,33.0,0.0
77,3,15,3,9.5,19.0,0.0
78,3,16,7,32.5,37.0,14.0
79,3,16,8,5.5,3.0,4.0
80,3,17,7,5.0,2.0,4.0
81,3,17,8,33.5,33.0,17.0
82,3,21,7,13.0,2.0,12.0
83,3,21,9,7.5,15.0,0.0
84,3,23,2,9.5,19.0,0.0
85,4,11,1,6.0,4.0,4.0
86,4,12,8,18.0,36.0,0.0
87,4,13,5,0.5,1.0,0.0
88,4,16,8,21.5,33.0,5.0
89,4,16,9,0.5,1.0,0.0
90,4,17,3,20.5,41.0,0.0
91,4,17,5,11.0,12.0,5.0
92,4,17,6,64.0,94.0,17.0
93,4,17,7,86.0,70.0,51.0
94,4,17,10,78.0,130.0,13.0
95,4,18,3,41.0,82.0,0.0
96,4,19,8,16.5,33.0,0.0
97,4,19,9,0.5,1.0,0.0
98,4,21,7,67.0,134.0,0.0
99,4,22,3,3.5,7.0,0.0
100,4,22,9,0.5,1.0,0.0
101,5,11,3,1.0,2.0,0.0
102,5,11,7,1.5,3.0,0.0
103,5,12,4,0.5,1.0,0.0
104,5,12,5,1.5,3.0,0.0
105,5,12,7,9.5,19.0,0.0
106,5,12,10,13.0,26.0,0.0
107,5,13,2,3.5,7.0,0.0
108,5,13,3,1.0,2.0,0.0
109,5,13,10,8.5,17.0,0.0
110,5,14,1,19.0,38.0,0.0
111,5,14,2,32.5,65.0,0.0
112,5,14,3,4.0,8.0,0.0
113,5,14,4,6.0,12.0,0.0
114,5,14,10,9.0,12.0,3.0
115,5,15,1,1.0,2.0,0.0
116,5,15,5,43.0,86.0,0.0
117,5,15,6,170.0,340.0,0.0
118,5,15,7,19.5,3.0,18.0
119,5,15,8,15.5,31.0,0.0
120,5,15,9,2.0,4.0,0.0
121,5,16,1,84.5,169.0,0.0
122,5,16,3,4.0,8.0,0.0
123,5,16,6,8.0,16.0,0.0
124,5,16,8,0.5,1.0,0.0
125,5,16,9,21.0,42.0,0.0
126,5,16,10,79.0,158.0,0.0
127,5,17,3,3.5,7.0,0.0
128,5,17,4,5.0,10.0,0.0
129,5,17,6,22.5,1.0,22.0
130,5,17,7,40.0,80.0,0.0
131,5,17,8,21.5,43.0,0.0
132,5,18,2,0.5,1.0,0.0
133,5,18,3,0.5,1.0,0.0
134,5,18,4,5.0,8.0,1.0
135,5,18,6,56.5,113.0,0.0
136,5,18,7,148.5,263.0,17.0
137,5,18,9,107.5,215.0,0.0
138,5,19,3,3.0,6.0,0.0
139,5,19,4,145.0,290.0,0.0
140,5,19,5,43.5,87.0,0.0
141,5,19,10,19.5,39.0,0.0
142,5,20,6,41.0,82.0,0.0
143,5,20,7,50.0,100.0,0.0
144,6,11,8,5.0,10.0,0.0
145,6,11,9,10.0,20.0,0.0
146,6,11,10,3.0,6.0,0.0
147,6,12,1,18.5,37.0,0.0
148,6,12,8,6.5,13.0,0.0
149,6,13,7,15.5,31.0,0.0
150,6,13,8,1.0,2.0,0.0
151,6,13,10,36.5,73.0,0.0
152,6,14,1,13.5,27.0,0.0
153,6,14,2,10.0,20.0,0.0
154,6,14,3,0.5,1.0,0.0
155,6,14,4,70.0,140.0,0.0
156,6,14,5,2.5,5.0,0.0
157,6,14,6,11.0,22.0,0.0
158,6,14,7,1.0,2.0,0.0
159,6,14,8,21.5,43.0,0.0
160,6,14,9,18.0,36.0,0.0
161,6,14,10,0.5,1.0,0.0
162,6,15,3,28.0,56.0,0.0
163,6,15,7,33.0,66.0,0.0
164,6,15,8,92.0,184.0,0.0
165,6,15,9,22.0,44.0,0.0
166,6,15,10,25.5,51.0,0.0
167,6,16,2,26.0,52.0,0.0
168,6,16,3,14.0,28.0,0.0
169,6,16,5,25.0,50.0,0.0
170,6,16,6,34.0,68.0,0.0
171,6,16,7,20.5,41.0,0.0
172,6,16,8,1.5,3.0,0.0
173,6,16,9,15.5,31.0,0.0
174,6,16,10,34.5,69.0,0.0
175,6,17,1,12.0,22.0,1.0
176,6,17,3,2.0,4.0,0.0
177,6,17,6,32.0,64.0,0.0
178,6,17,7,3.5,7.0,0.0
179,6,18,7,28.0,56.0,0.0
180,6,18,8,38.5,77.0,0.0
181,6,18,9,69.5,133.0,3.0
182,6,18,10,4.5,9.0,0.0
183,6,19,1,139.0,278.0,0.0
184,6,19,2,8.0,16.0,0.0
185,6,19,5,2.5,5.0,0.0
186,6,19,8,14.0,28.0,0.0
187,7,12,7,8.0,16.0,0.0
188,7,13,6,1.0,2.0,0.0
189,7,13,7,9.5,19.0,0.0
190,7,13,10,39.5,79.0,0.0
191,7,14,1,37.5,75.0,0.0
192,7,14,2,1.0,2.0,0.0
193,7,14,3,1.0,2.0,0.0
194,7,14,4,44.0,88.0,0.0
195,7,14,6,6.5,13.0,0.0
196,7,14,7,59.0,118.0,0.0
197,7,14,9,32.5,65.0,0.0
198,7,14,10,4.0,8.0,0.0
199,7,15,1,50.0,100.0,0.0
200,7,15,7,23.5,47.0,0.0
201,7,15,9,20.5,41.0,0.0
202,7,15,10,29.5,59.0,0.0
203,7,16,1,101.0,202.0,0.0
204,7,16,3,40.0,80.0,0.0
205,7,16,5,15.0,30.0,0.0
206,7,16,9,1.0,2.0,0.0
207,7,17,1,42.5,65.0,10.0
208,7,17,3,99.5,199.0,0.0
209,7,17,4,106.5,177.0,18.0
210,7,17,5,70.0,140.0,0.0
211,7,17,6,132.5,23.0,121.0
212,7,17,7,88.0,40.0,68.0
213,7,17,8,74.5,149.0,0.0
214,7,17,9,5.0,10.0,0.0
215,7,17,10,190.0,340.0,20.0
216,7,18,1,145.0,186.0,52.0
217,7,18,2,166.0,330.0,1.0
218,7,18,3,182.0,356.0,4.0
219,7,18,4,180.0,360.0,0.0
220,7,18,5,100.0,200.0,0.0
221,7,18,6,180.0,360.0,0.0
222,7,18,7,163.5,327.0,0.0
223,7,18,8,73.0,146.0,0.0
224,7,18,9,180.0,360.0,0.0
225,7,18,10,180.0,360.0,0.0
226,7,19,1,180.0,360.0,0.0
227,7,19,2,169.5,243.0,48.0
228,7,19,3,180.0,360.0,0.0
229,7,19,4,180.0,360.0,0.0
230,7,19,5,169.5,339.0,0.0
231,7,19,6,11.5,23.0,0.0
232,7,19,7,6.0,12.0,0.0
233,7,20,4,25.0,50.0,0.0
234,7,21,3,8.5,17.0,0.0
235,7,21,4,70.0,140.0,0.0
236,7,21,5,4.5,9.0,0.0
237,7,21,8,65.5,131.0,0.0
238,7,21,9,67.5,135.0,0.0
239,7,22,1,144.0,288.0,0.0
240,7,22,2,67.0,134.0,0.0
241,7,22,10,12.0,20.0,2.0
242,7,23,1,9.5,19.0,0.0
243,7,23,10,4.0,8.0,0.0
