Cday,CT,bin,middle,mid_sep,others
1,23,2,9,3,348
1,23,3,0,0,360
1,23,4,25,9,326
1,23,5,0,0,360
1,23,6,32,7,321
1,23,7,6,0,354
1,23,8,0,0,360
1,23,9,0,0,360
1,23,10,0,0,360
2,0,1,16,23,321
2,0,2,0,0,360
2,0,3,0,0,360
2,0,4,0,0,360
2,0,5,0,0,360
2,0,6,0,0,360
2,0,7,0,0,360
2,0,8,0,0,360
2,0,9,0,0,360
2,0,10,0,0,360
2,1,1,0,0,360
2,1,2,0,0,360
2,1,3,1,21,338
2,1,4,0,16,344
2,1,5,0,0,360
2,1,6,0,0,360
2,1,7,0,0,360
2,1,8,0,0,360
2,1,9,0,0,360
2,1,10,0,0,360
2,2,1,0,0,360
2,2,2,0,0,360
2,2,3,13,11,336
2,2,4,0,0,360
2,2,5,23,0,337
2,2,6,0,0,360
2,2,7,0,0,360
2,2,8,0,0,360
2,2,9,0,0,360
2,2,10,0,0,360
2,3,1,0,0,360
2,3,2,0,0,360
2,3,3,0,0,360
2,3,4,0,0,360
2,3,5,0,0,360
2,3,6,98,71,191
2,3,7,0,0,360
2,3,8,0,0,360
2,3,9,0,0,360
2,3,10,0,0,360
2,4,1,0,0,360
2,4,2,0,0,360
2,4,3,0,0,360
2,4,4,0,0,360
2,4,5,0,0,360
2,4,6,0,0,360
2,4,7,0,0,360
2,4,8,0,0,360
2,4,9,0,0,360
2,4,10,0,0,360
2,5,1,0,0,360
2,5,2,0,0,360
2,5,3,0,0,360
2,5,4,0,0,360
2,5,5,0,0,360
2,5,6,0,0,360
2,5,7,0,0,360
2,5,8,0,0,360
2,5,9,0,0,360
2,5,10,0,0,360
2,6,1,0,0,360
2,6,2,0,0,360
2,6,3,0,0,360
2,6,4,0,0,360
2,6,5,0,0,360
2,6,6,0,0,360
2,6,7,0,0,360
2,6,8,0,0,360
2,6,9,0,0,360
2,6,10,32,0,328
2,7,1,15,9,336
2,7,2,0,0,360
2,7,3,0,0,360
2,7,4,0,0,360
2,7,5,0,0,360
2,7,6,0,0,360
2,7,7,0,0,360
2,7,8,0,0,360
2,7,9,0,0,360
2,7,10,0,0,360
2,8,1,0,0,360
2,8,2,25,5,330
2,8,3,0,0,360
2,8,4,0,0,360
2,8,5,0,0,360
2,8,6,0,0,360
2,8,7,0,0,360
2,8,8,0,0,360
2,8,9,0,0,360
2,8,10,0,0,360
2,9,1,0,0,360
2,9,2,0,0,360
2,9,3,0,0,360
2,9,4,0,0,360
2,9,5,0,0,360
2,9,6,0,0,360
2,9,7,0,0,360
2,9,8,0,0,360
2,9,9,0,0,360
2,9,10,0,0,360
2,10,1,0,0,360
2,10,2,0,0,360
2,10,3,0,0,360
2,10,4,0,0,360
2,10,5,0,0,360
2,10,6,62,11,287
2,10,7,0,0,360
2,10,8,0,0,360
2,10,9,0,0,360
2,10,10,0,0,360
2,11,1,0,0,360
2,11,2,0,0,360
2,11,3,0,0,360
2,11,4,0,0,360
2,11,5,6,7,347
2,11,6,0,0,360
2,11,7,0,0,360
2,11,8,0,0,360
2,11,9,0,0,360
2,11,10,4,0,356
2,12,1,1,0,359
2,12,2,0,0,360
2,12,3,1,0,359
2,12,4,84,0,276
2,12,5,129,24,207
2,12,6,0,0,360
2,12,7,0,0,360
2,12,8,1,0,359
2,12,9,41,2,317
2,12,10,1,0,359
2,13,1,1,0,359
2,13,2,1,0,359
2,13,3,0,0,360
2,13,4,0,0,360
2,13,5,0,0,360
2,13,6,0,0,360
2,13,7,0,0,360
2,13,8,0,0,360
2,13,9,0,0,360
2,13,10,0,0,360
2,14,1,0,0,360
2,14,2,0,0,360
2,14,3,2,0,358
2,14,4,2,0,358
2,14,5,0,0,360
2,14,6,0,0,360
2,14,7,0,0,360
2,14,8,0,0,360
2,14,9,2,0,358
2,14,10,0,0,360
2,15,1,0,0,360
2,15,2,0,0,360
2,15,3,0,0,360
2,15,4,0,0,360
2,15,5,0,0,360
2,15,6,0,0,360
2,15,7,2,0,358
2,15,8,0,0,360
2,15,9,0,0,360
2,15,10,0,5,355
2,16,1,0,0,360
2,16,2,0,0,360
2,16,3,0,0,360
2,16,4,0,0,360
2,16,5,2,0,358
2,16,6,0,0,360
2,16,7,2,0,358
2,16,8,2,0,358
2,16,9,0,0,360
2,16,10,0,0,360
2,17,1,0,0,360
2,17,2,1,0,359
2,17,3,0,0,360
2,17,4,4,1,713
2,17,5,0,0,720
2,17,6,0,0,720
2,17,7,24,4,692
2,17,8,3,0,374
2,17,9,0,0,360
2,17,10,0,0,360
2,18,1,0,0,360
2,18,2,91,0,269
2,18,3,120,17,223
2,18,4,5,1,354
2,18,5,0,0,360
2,18,6,0,0,360
2,18,7,0,0,360
2,18,8,0,0,360
2,18,9,0,0,360
2,18,10,0,0,360
2,19,1,0,0,360
2,19,2,0,0,360
2,19,3,0,0,360
2,19,4,0,0,360
2,19,5,0,0,360
2,19,6,0,0,360
2,19,7,1,0,359
2,19,8,0,0,360
2,19,9,0,0,360
2,19,10,0,0,360
2,20,1,1,0,359
2,20,2,5,2,353
2,20,3,0,0,360
2,20,4,0,0,360
2,20,5,0,0,360
2,20,6,0,0,360
2,20,7,9,0,351
2,20,8,33,3,324
2,20,9,2,8,350
2,20,10,0,0,360
2,21,1,0,0,360
2,21,2,1,8,351
2,21,3,0,0,360
2,21,4,0,0,360
2,21,5,0,0,360
2,21,6,0,0,360
2,21,7,0,0,360
2,21,8,0,0,360
2,21,9,0,0,360
2,21,10,0,0,360
2,22,1,0,0,360
2,22,2,0,0,360
2,22,3,0,0,360
2,22,4,0,0,360
2,22,5,0,0,360
2,22,6,8,0,352
2,22,7,0,0,360
2,22,8,2,4,354
2,22,9,12,0,348
2,22,10,45,2,313
2,23,1,0,0,360
2,23,2,0,0,360
2,23,3,0,0,360
2,23,4,0,0,360
2,23,5,0,0,360
2,23,6,7,10,343
2,23,7,0,0,360
2,23,8,0,0,360
2,23,9,0,0,360
2,23,10,29,6,325
3,0,1,11,19,330
3,0,2,0,0,360
3,0,3,0,0,360
3,0,4,0,0,360
3,0,5,0,0,360
3,0,6,39,0,321
3,0,7,0,0,360
3,0,8,0,0,360
3,0,9,0,0,360
3,0,10,22,6,332
3,1,1,2,1,357
3,1,2,0,0,360
3,1,3,20,2,338
3,1,4,0,0,360
3,1,5,0,0,360
3,1,6,0,0,360
3,1,7,0,0,360
3,1,8,0,0,360
3,1,9,9,0,351
3,1,10,0,0,360
3,2,1,0,0,360
3,2,2,0,0,360
3,2,3,0,0,360
3,2,4,20,11,329
3,2,5,0,0,360
3,2,6,0,0,360
3,2,7,0,0,360
3,2,8,0,0,360
3,2,9,0,0,360
3,2,10,0,0,360
3,3,1,0,0,360
3,3,2,0,0,360
3,3,3,0,0,360
3,3,4,0,0,360
3,3,5,0,0,360
3,3,6,0,0,360
3,3,7,0,0,360
3,3,8,0,0,360
3,3,9,0,0,360
3,3,10,0,0,360
3,4,1,0,0,360
3,4,2,0,0,360
3,4,3,0,0,360
3,4,4,0,0,360
3,4,5,0,0,360
3,4,6,0,0,360
3,4,7,0,0,360
3,4,8,0,0,360
3,4,9,7,0,353
3,4,10,21,2,337
3,5,1,8,0,352
3,5,2,54,0,306
3,5,3,0,0,360
3,5,4,0,0,360
3,5,5,19,2,339
3,5,6,1,0,359
3,5,7,0,0,360
3,5,8,1,0,359
3,5,9,22,5,333
3,5,10,0,0,360
3,6,1,0,0,360
3,6,2,0,0,360
3,6,3,0,0,360
3,6,4,3,0,357
3,6,5,6,1,353
3,6,6,0,0,360
3,6,7,1,0,359
3,6,8,0,0,360
3,6,9,0,0,360
3,6,10,0,0,360
3,7,1,0,0,360
3,7,2,0,0,360
3,7,3,0,0,360
3,7,4,0,0,360
3,7,5,0,0,360
3,7,6,0,0,360
3,7,7,0,0,360
3,7,8,0,0,360
3,7,9,0,0,360
3,7,10,0,0,360
3,8,1,0,0,360
3,8,2,0,0,360
3,8,3,0,0,360
3,8,4,0,0,360
3,8,5,0,0,360
3,8,6,0,0,360
3,8,7,0,0,360
3,8,8,0,0,360
3,8,9,0,0,360
3,8,10,0,0,360
3,9,1,0,0,360
3,9,2,0,0,360
3,9,3,0,0,360
3,9,4,0,0,360
3,9,5,0,0,360
3,9,6,0,0,360
3,9,7,0,0,360
3,9,8,0,0,360
3,9,9,5,4,351
3,9,10,0,0,360
3,10,1,0,0,360
3,10,2,1,0,359
3,10,3,26,12,322
3,10,4,0,0,360
3,10,5,0,0,360
3,10,6,0,0,360
3,10,7,0,0,360
3,10,8,0,0,360
3,10,9,0,0,360
3,10,10,0,0,360
3,11,1,0,0,360
3,11,2,0,0,360
3,11,3,0,0,360
3,11,4,18,0,342
3,11,5,3,2,355
3,11,6,4,0,356
3,11,7,0,0,360
3,11,8,0,0,360
3,11,9,6,0,354
3,11,10,0,0,360
3,12,1,0,0,360
3,12,2,5,0,355
3,12,3,0,0,360
3,12,4,2,0,358
3,12,5,0,0,360
3,12,6,0,0,360
3,12,7,1,0,359
3,12,8,0,0,360
3,12,9,1,0,359
3,12,10,0,0,360
3,13,1,4,0,356
3,13,2,3,0,357
3,13,3,135,9,216
3,13,4,94,0,266
3,13,5,0,0,360
3,13,6,0,0,360
3,13,7,20,0,340
3,13,8,146,0,214
3,13,9,79,11,270
3,13,10,0,0,360
3,14,1,1,0,359
3,14,2,0,0,360
3,14,3,2,0,358
3,14,4,0,0,360
3,14,5,0,0,360
3,14,6,0,0,360
3,14,7,0,0,360
3,14,8,0,0,360
3,14,9,0,0,360
3,14,10,0,0,360
3,15,1,0,0,360
3,15,2,13,0,347
3,15,3,6,0,354
3,15,4,0,0,360
3,15,5,0,0,360
3,15,6,0,0,360
3,15,7,0,0,360
3,15,8,2,0,358
3,15,9,0,0,360
3,15,10,0,0,360
3,16,1,0,0,360
3,16,2,1,0,359
3,16,3,0,0,360
3,16,4,0,0,360
3,16,5,0,0,360
3,16,6,0,0,360
3,16,7,0,0,360
3,16,8,0,0,360
3,16,9,0,0,360
3,16,10,0,0,360
3,17,1,0,0,360
3,17,2,0,3,357
3,17,3,0,0,360
3,17,4,0,0,247
3,17,8,1,0,342
3,17,9,0,0,360
3,17,10,14,5,341
3,18,1,51,3,306
3,18,2,3,5,352
3,18,3,1,0,359
3,18,4,0,0,360
3,18,5,0,0,360
3,18,6,0,0,360
3,18,7,0,0,360
3,18,8,0,0,360
3,18,9,0,0,360
3,18,10,0,0,360
3,19,1,0,0,360
3,19,2,5,4,351
3,19,3,0,0,360
3,19,4,0,0,360
3,19,5,0,0,360
3,19,6,0,0,360
3,19,7,0,0,360
3,19,8,0,0,360
3,19,9,0,0,360
3,19,10,0,0,360
3,20,1,0,0,360
3,20,2,0,0,360
3,20,3,0,0,360
3,20,4,0,0,360
3,20,5,0,0,360
3,20,6,0,0,360
3,20,7,0,0,360
3,20,8,0,0,360
3,20,9,0,0,360
3,20,10,0,0,360
3,21,1,6,0,354
3,21,2,0,0,360
3,21,3,1,0,359
3,21,4,0,0,360
3,21,5,3,2,355
3,21,6,0,0,360
3,21,7,22,21,317
3,21,8,5,0,355
3,21,9,21,3,336
3,21,10,0,0,360
3,22,1,0,0,360
3,22,2,0,0,360
3,22,3,0,0,360
3,22,4,0,0,360
3,22,5,0,0,360
3,22,6,0,0,360
3,22,7,0,0,360
3,22,8,0,0,360
3,22,9,0,0,360
3,22,10,0,0,360
3,23,1,1,0,359
3,23,2,3,0,357
3,23,3,3,0,357
3,23,4,0,0,360
3,23,5,0,0,360
3,23,6,0,0,360
3,23,7,0,0,360
3,23,8,17,0,343
3,23,9,0,0,360
3,23,10,0,0,360
4,0,1,0,0,360
4,0,2,0,0,360
4,0,3,0,0,360
4,0,4,0,0,360
4,0,5,0,0,360
4,0,6,0,0,360
4,0,7,0,0,360
4,0,8,0,0,360
4,0,9,0,0,360
4,0,10,0,0,360
4,1,1,0,0,360
4,1,2,0,0,360
4,1,3,0,0,360
4,1,4,0,0,360
4,1,5,0,0,360
4,1,6,0,0,360
4,1,7,53,7,300
4,1,8,52,0,308
4,1,9,14,11,335
4,1,10,74,0,286
4,2,1,6,0,354
4,2,2,0,0,360
4,2,3,0,0,360
4,2,4,0,0,360
4,2,5,0,0,360
4,2,6,0,0,360
4,2,7,0,0,360
4,2,8,0,0,360
4,2,9,0,0,360
4,2,10,0,0,360
4,3,1,0,0,360
4,3,2,0,0,360
4,3,3,0,0,360
4,3,4,0,0,360
4,3,5,0,0,360
4,3,6,0,0,360
4,3,7,0,0,360
4,3,8,0,0,360
4,3,9,0,0,360
4,3,10,0,0,360
4,4,1,0,0,360
4,4,2,0,0,360
4,4,3,0,0,360
4,4,4,0,0,360
4,4,5,0,0,360
4,4,6,0,0,360
4,4,7,0,0,360
