,Cday,CT,bin,data,both_mid,both_midsep
0,1,0,1,16.5,31.0,1.0
1,1,0,2,107.5,33.0,91.0
2,1,0,3,39.5,11.0,34.0
3,1,2,4,27.5,3.0,26.0
4,1,2,5,38.5,31.0,23.0
5,1,7,1,66.5,13.0,60.0
6,1,8,4,12.5,17.0,4.0
7,1,10,2,23.5,5.0,21.0
8,1,10,3,47.0,10.0,42.0
9,1,11,9,30.5,33.0,14.0
10,1,12,3,17.5,23.0,6.0
11,1,12,7,35.0,48.0,11.0
12,1,12,10,2.0,4.0,0.0
13,1,13,1,3.5,7.0,0.0
14,1,15,2,4.5,5.0,2.0
15,1,16,6,21.0,2.0,20.0
16,1,17,4,22.5,17.0,14.0
17,1,18,3,12.5,11.0,7.0
18,1,18,6,15.5,3.0,14.0
19,1,18,9,16.5,9.0,12.0
20,1,19,6,65.5,11.0,60.0
21,1,20,6,67.5,19.0,58.0
22,1,22,4,55.0,14.0,48.0
23,1,22,5,34.5,45.0,12.0
24,1,22,6,64.0,38.0,45.0
25,1,22,7,2.0,2.0,1.0
26,1,23,6,17.5,7.0,14.0
27,1,23,7,108.5,51.0,83.0
28,1,23,8,77.5,19.0,68.0
29,1,23,10,11.0,4.0,9.0
30,2,0,8,23.5,13.0,17.0
31,2,0,9,81.5,77.0,43.0
32,2,2,4,13.0,12.0,7.0
33,2,2,5,35.5,71.0,0.0
34,2,2,6,97.5,89.0,53.0
35,2,6,6,46.0,60.0,16.0
36,2,10,2,25.0,16.0,17.0
37,2,10,3,101.5,83.0,60.0
38,2,10,4,34.5,3.0,33.0
39,2,11,6,38.5,33.0,22.0
40,2,11,7,38.0,16.0,30.0
41,2,12,1,28.0,30.0,13.0
42,2,12,4,2.0,2.0,1.0
43,2,12,9,22.0,4.0,20.0
44,2,13,2,4.0,0.0,4.0
45,2,13,3,18.5,5.0,16.0
46,2,13,4,4.0,8.0,0.0
47,2,13,9,9.0,10.0,4.0
48,2,14,3,23.0,46.0,0.0
49,2,14,4,17.0,34.0,0.0
50,2,14,5,36.5,33.0,20.0
51,2,14,6,15.5,15.0,8.0
52,2,15,3,12.0,2.0,11.0
53,2,15,8,4.5,3.0,3.0
54,2,15,10,5.0,10.0,0.0
55,2,16,1,9.0,14.0,2.0
56,2,16,2,26.5,51.0,1.0
57,2,16,3,1.0,2.0,0.0
58,2,16,9,89.0,168.0,5.0
59,2,16,10,118.5,237.0,0.0
60,2,17,1,7.0,14.0,0.0
61,2,17,3,101.0,194.0,4.0
62,2,17,4,65.0,64.0,33.0
63,2,17,5,46.5,93.0,0.0
64,2,17,6,145.5,81.0,105.0
65,2,17,7,43.5,63.0,12.0
66,2,17,8,42.0,44.0,20.0
67,2,19,2,11.5,9.0,7.0
68,2,19,3,30.0,40.0,10.0
69,2,19,8,17.0,24.0,5.0
70,2,20,9,50.5,17.0,42.0
71,2,22,1,91.5,67.0,58.0
72,2,22,2,16.0,2.0,15.0
73,2,22,3,3.0,6.0,0.0
74,2,23,2,93.0,178.0,4.0
75,2,23,3,17.5,15.0,10.0
76,2,23,5,6.5,3.0,5.0
77,2,23,7,32.0,28.0,18.0
78,3,0,8,92.5,145.0,20.0
79,3,0,9,30.5,33.0,14.0
80,3,0,10,86.0,88.0,42.0
81,3,2,6,124.0,128.0,60.0
82,3,6,6,45.5,49.0,21.0
83,3,7,10,16.5,19.0,7.0
84,3,9,3,6.0,12.0,0.0
85,3,9,4,42.0,14.0,35.0
86,3,10,6,70.5,79.0,31.0
87,3,10,7,41.5,27.0,28.0
88,3,11,6,13.0,24.0,1.0
89,3,11,9,19.0,22.0,8.0
90,3,11,10,44.5,81.0,4.0
91,3,12,4,5.0,10.0,0.0
92,3,12,6,1.0,2.0,0.0
93,3,12,7,17.5,35.0,0.0
94,3,12,9,27.0,54.0,0.0
95,3,12,10,8.0,4.0,6.0
96,3,13,7,1.5,3.0,0.0
97,3,14,6,43.0,86.0,0.0
98,3,14,9,54.0,108.0,0.0
99,3,14,10,95.5,191.0,0.0
100,3,15,1,81.5,149.0,7.0
101,3,15,3,105.0,210.0,0.0
102,3,15,4,8.0,16.0,0.0
103,3,16,2,8.5,17.0,0.0
104,3,16,5,65.0,130.0,0.0
105,3,16,7,8.0,16.0,0.0
106,3,16,8,19.0,38.0,0.0
107,3,16,9,2.5,5.0,0.0
108,3,17,1,65.5,115.0,8.0
109,3,17,5,116.5,159.0,37.0
110,3,19,9,23.0,12.0,17.0
111,3,19,10,13.5,1.0,13.0
112,3,21,8,95.0,144.0,23.0
113,3,21,9,44.0,8.0,40.0
114,3,22,1,63.0,44.0,41.0
115,3,23,4,54.5,35.0,37.0
116,3,23,5,39.0,26.0,26.0
117,3,23,6,24.5,15.0,17.0
118,3,23,8,32.0,38.0,13.0
119,3,23,9,13.0,26.0,0.0
120,4,0,7,100.0,132.0,34.0
121,4,0,8,78.5,133.0,12.0
122,4,0,9,85.5,171.0,0.0
123,4,0,10,101.5,203.0,0.0
124,4,1,1,75.5,145.0,3.0
125,4,1,2,19.5,29.0,5.0
126,4,3,1,47.5,95.0,0.0
127,4,3,2,63.0,70.0,28.0
128,4,4,7,26.0,44.0,4.0
129,4,8,8,69.5,133.0,3.0
130,4,10,8,9.5,1.0,9.0
131,4,10,9,55.5,51.0,30.0
132,4,11,7,33.0,36.0,15.0
133,4,11,8,35.5,31.0,20.0
134,4,12,2,23.0,4.0,21.0
135,4,12,7,15.5,5.0,13.0
136,4,12,10,16.0,22.0,5.0
137,4,13,2,8.0,2.0,7.0
138,4,13,5,7.5,15.0,0.0
139,4,13,6,17.0,4.0,15.0
140,4,13,9,13.5,23.0,2.0
141,4,14,3,4.0,6.0,1.0
142,4,14,9,0.5,1.0,0.0
143,4,14,10,4.5,5.0,2.0
144,4,15,2,14.5,19.0,5.0
145,4,15,4,14.0,4.0,12.0
146,4,15,5,3.5,1.0,3.0
147,4,15,7,13.0,0.0,13.0
148,4,16,1,4.5,3.0,3.0
149,4,16,6,13.0,26.0,0.0
150,4,16,9,9.0,18.0,0.0
151,4,17,3,96.0,192.0,0.0
152,4,17,4,58.5,117.0,0.0
153,4,17,6,23.5,47.0,0.0
154,4,17,7,28.0,56.0,0.0
155,4,17,8,2.5,1.0,2.0
156,4,17,9,51.5,103.0,0.0
157,4,18,2,40.5,81.0,0.0
158,4,18,3,20.5,29.0,6.0
159,4,19,9,143.0,194.0,46.0
160,4,19,10,137.0,166.0,54.0
161,4,20,1,170.5,341.0,0.0
162,4,20,2,39.5,19.0,30.0
163,4,22,6,59.5,79.0,20.0
164,4,22,7,187.0,234.0,70.0
165,4,22,8,20.5,23.0,9.0
166,4,22,9,5.5,11.0,0.0
167,4,23,1,87.0,128.0,23.0
168,4,23,2,26.0,52.0,0.0
169,4,23,3,106.5,109.0,52.0
170,5,0,5,72.0,104.0,20.0
171,5,0,6,135.0,142.0,64.0
172,5,0,7,38.0,76.0,0.0
173,5,2,1,87.5,135.0,20.0
174,5,6,10,39.0,70.0,4.0
175,5,8,5,6.0,12.0,0.0
176,5,11,8,54.0,108.0,0.0
177,5,12,3,27.0,24.0,15.0
178,5,12,9,16.5,1.0,16.0
179,5,12,10,11.0,18.0,2.0
180,5,13,5,9.5,19.0,0.0
181,5,13,7,2.0,4.0,0.0
182,5,14,7,25.5,31.0,10.0
183,5,15,5,11.5,9.0,7.0
184,5,15,6,1.0,2.0,0.0
185,5,15,9,18.5,17.0,10.0
186,5,16,1,56.0,112.0,0.0
187,5,16,2,24.5,49.0,0.0
188,5,16,4,6.0,12.0,0.0
189,5,16,5,77.5,155.0,0.0
190,5,16,7,97.5,195.0,0.0
191,5,16,10,71.5,143.0,0.0
192,5,17,1,5.5,11.0,0.0
193,5,17,3,15.5,9.0,11.0
194,5,17,4,8.0,16.0,0.0
195,5,17,10,1.0,2.0,0.0
196,5,18,2,39.0,78.0,0.0
197,5,20,5,87.5,175.0,0.0
198,5,22,10,15.0,0.0,15.0
199,5,23,1,46.5,79.0,7.0
200,5,23,2,42.5,37.0,24.0
201,5,23,5,49.0,92.0,3.0
202,5,23,6,44.0,48.0,20.0
203,6,1,2,78.5,29.0,64.0
204,6,1,3,15.5,17.0,7.0
205,6,2,7,62.5,71.0,27.0
206,6,2,8,57.0,30.0,42.0
207,6,10,2,16.5,15.0,9.0
208,6,11,8,54.0,86.0,11.0
209,6,12,5,23.0,20.0,13.0
210,6,12,7,16.5,33.0,0.0
211,6,13,1,1.5,3.0,0.0
212,6,13,3,23.5,47.0,0.0
213,6,13,8,6.5,13.0,0.0
214,6,14,1,8.5,11.0,3.0
215,6,14,7,67.0,134.0,0.0
216,6,15,3,13.0,16.0,5.0
217,6,15,8,3.0,4.0,1.0
218,6,16,3,67.0,24.0,55.0
219,6,16,4,31.5,63.0,0.0
220,6,17,10,18.0,14.0,11.0
221,6,18,2,23.5,1.0,23.0
222,6,18,4,19.5,3.0,18.0
223,6,18,5,13.5,15.0,6.0
224,6,18,6,3.0,2.0,2.0
225,6,20,4,22.0,24.0,10.0
226,6,23,5,2.0,4.0,0.0
227,6,23,6,22.0,10.0,17.0
228,6,23,7,83.0,90.0,38.0
229,6,23,9,42.0,32.0,26.0
