,Cday,CT,bin,data,middle,mid_sep,others
0,3,0,1,0.0,0.0,0.0,360.0
1,3,0,2,0.0,0.0,0.0,360.0
2,3,0,3,69.0,34.0,52.0,274.0
3,3,0,4,22.5,27.0,9.0,324.0
4,3,0,5,0.0,0.0,0.0,360.0
5,3,0,6,0.0,0.0,0.0,360.0
6,3,0,7,0.0,0.0,0.0,360.0
7,3,0,8,0.0,0.0,0.0,360.0
8,3,0,9,0.0,0.0,0.0,360.0
9,3,0,10,0.0,0.0,0.0,360.0
10,3,1,1,0.0,0.0,0.0,360.0
11,3,1,2,0.0,0.0,0.0,360.0
12,3,1,3,3.0,2.0,2.0,356.0
13,3,1,4,0.0,0.0,0.0,360.0
14,3,1,5,8.0,2.0,7.0,351.0
15,3,1,6,0.0,0.0,0.0,360.0
16,3,1,7,0.0,0.0,0.0,360.0
17,3,1,8,0.0,0.0,0.0,360.0
18,3,1,9,0.0,0.0,0.0,360.0
19,3,1,10,0.0,0.0,0.0,360.0
20,3,2,1,0.0,0.0,0.0,360.0
21,3,2,2,0.0,0.0,0.0,360.0
22,3,2,3,0.0,0.0,0.0,360.0
23,3,2,4,0.0,0.0,0.0,360.0
24,3,2,5,0.0,0.0,0.0,360.0
25,3,2,6,0.0,0.0,0.0,360.0
26,3,2,7,0.0,0.0,0.0,360.0
27,3,2,8,0.0,0.0,0.0,360.0
28,3,2,9,0.0,0.0,0.0,360.0
29,3,2,10,38.0,56.0,10.0,294.0
30,3,3,1,0.0,0.0,0.0,360.0
31,3,3,2,0.0,0.0,0.0,360.0
32,3,3,3,0.0,0.0,0.0,360.0
33,3,3,4,0.0,0.0,0.0,360.0
34,3,3,5,0.0,0.0,0.0,360.0
35,3,3,6,0.0,0.0,0.0,360.0
36,3,3,7,0.0,0.0,0.0,360.0
37,3,3,8,0.0,0.0,0.0,360.0
38,3,3,9,0.0,0.0,0.0,360.0
39,3,3,10,0.0,0.0,0.0,360.0
40,3,4,1,0.0,0.0,0.0,360.0
41,3,4,2,0.0,0.0,0.0,360.0
42,3,4,3,0.0,0.0,0.0,360.0
43,3,4,4,84.5,61.0,54.0,245.0
44,3,4,5,1.0,2.0,0.0,358.0
45,3,4,6,0.0,0.0,0.0,360.0
46,3,4,7,0.0,0.0,0.0,360.0
47,3,4,8,0.0,0.0,0.0,360.0
48,3,4,9,0.0,0.0,0.0,360.0
49,3,4,10,0.0,0.0,0.0,360.0
50,3,5,1,0.0,0.0,0.0,360.0
51,3,5,2,0.0,0.0,0.0,360.0
52,3,5,3,0.0,0.0,0.0,360.0
53,3,5,4,0.0,0.0,0.0,360.0
54,3,5,5,0.0,0.0,0.0,360.0
55,3,5,6,0.0,0.0,0.0,360.0
56,3,5,7,0.0,0.0,0.0,360.0
57,3,5,8,0.0,0.0,0.0,360.0
58,3,5,9,0.0,0.0,0.0,360.0
59,3,5,10,0.0,0.0,0.0,360.0
60,3,6,1,0.0,0.0,0.0,360.0
61,3,6,2,0.0,0.0,0.0,360.0
62,3,6,3,0.0,0.0,0.0,360.0
63,3,6,4,0.0,0.0,0.0,360.0
64,3,6,5,0.0,0.0,0.0,360.0
65,3,6,6,0.0,0.0,0.0,360.0
66,3,6,7,0.0,0.0,0.0,360.0
67,3,6,8,2.0,2.0,1.0,357.0
68,3,6,9,36.5,73.0,0.0,287.0
69,3,6,10,0.0,0.0,0.0,360.0
70,3,7,1,0.0,0.0,0.0,360.0
71,3,7,2,0.0,0.0,0.0,360.0
72,3,7,3,0.0,0.0,0.0,360.0
73,3,7,4,0.0,0.0,0.0,360.0
74,3,7,5,0.0,0.0,0.0,360.0
75,3,7,6,0.0,0.0,0.0,360.0
76,3,7,7,0.0,0.0,0.0,360.0
77,3,7,8,0.0,0.0,0.0,360.0
78,3,7,9,0.0,0.0,0.0,360.0
79,3,7,10,0.0,0.0,0.0,360.0
80,3,8,1,0.0,0.0,0.0,360.0
81,3,8,2,0.0,0.0,0.0,360.0
82,3,8,3,0.0,0.0,0.0,360.0
83,3,8,4,0.0,0.0,0.0,360.0
84,3,8,5,0.0,0.0,0.0,360.0
85,3,8,6,0.0,0.0,0.0,360.0
86,3,8,7,0.0,0.0,0.0,360.0
87,3,8,8,0.0,0.0,0.0,360.0
88,3,8,9,0.0,0.0,0.0,360.0
89,3,8,10,0.0,0.0,0.0,360.0
90,3,9,1,0.0,0.0,0.0,225.0
91,3,10,6,0.0,0.0,0.0,49.0
92,3,10,7,0.0,0.0,0.0,360.0
93,3,10,8,28.0,8.0,24.0,328.0
94,3,10,9,0.0,0.0,0.0,360.0
95,3,10,10,18.5,25.0,6.0,329.0
96,3,11,1,0.0,0.0,0.0,360.0
97,3,11,2,0.0,0.0,0.0,360.0
98,3,11,3,0.0,0.0,0.0,360.0
99,3,11,4,0.0,0.0,0.0,360.0
100,3,11,5,0.0,0.0,0.0,360.0
101,3,11,6,0.0,0.0,0.0,360.0
102,3,11,7,0.0,0.0,0.0,360.0
103,3,11,8,0.5,1.0,0.0,359.0
104,3,11,9,26.0,12.0,20.0,328.0
105,3,11,10,0.0,0.0,0.0,360.0
106,3,12,1,0.0,0.0,0.0,360.0
107,3,12,2,0.0,0.0,0.0,360.0
108,3,12,3,0.0,0.0,0.0,360.0
109,3,12,4,12.0,2.0,11.0,347.0
110,3,12,5,0.0,0.0,0.0,360.0
111,3,12,6,0.0,0.0,0.0,360.0
112,3,12,7,0.0,0.0,0.0,360.0
113,3,12,8,11.5,3.0,10.0,347.0
114,3,12,9,0.0,0.0,0.0,360.0
115,3,12,10,0.0,0.0,0.0,360.0
116,3,13,1,0.0,0.0,0.0,360.0
117,3,13,2,0.0,0.0,0.0,360.0
118,3,13,3,2.5,1.0,2.0,357.0
119,3,13,4,0.0,0.0,0.0,360.0
120,3,13,5,0.0,0.0,0.0,360.0
121,3,13,6,0.0,0.0,0.0,360.0
122,3,13,7,37.5,31.0,22.0,307.0
123,3,13,8,0.0,0.0,0.0,360.0
124,3,13,9,5.0,10.0,0.0,350.0
125,3,13,10,0.0,0.0,0.0,360.0
126,3,14,1,0.0,0.0,0.0,360.0
127,3,14,2,0.0,0.0,0.0,360.0
128,3,14,3,0.0,0.0,0.0,360.0
129,3,14,4,0.0,0.0,0.0,360.0
130,3,14,5,43.0,66.0,10.0,284.0
131,3,14,6,0.0,0.0,0.0,360.0
132,3,14,7,0.0,0.0,0.0,360.0
133,3,14,8,0.0,0.0,0.0,360.0
134,3,14,9,0.0,0.0,0.0,360.0
135,3,14,10,0.0,0.0,0.0,360.0
136,3,15,1,16.0,4.0,14.0,342.0
137,3,15,2,0.0,0.0,0.0,360.0
138,3,15,3,0.0,0.0,0.0,360.0
139,3,15,4,0.0,0.0,0.0,360.0
140,3,15,5,0.0,0.0,0.0,360.0
141,3,15,6,0.0,0.0,0.0,360.0
142,3,15,7,0.0,0.0,0.0,360.0
143,3,15,8,0.0,0.0,0.0,360.0
144,3,15,9,7.5,15.0,0.0,345.0
145,3,15,10,6.5,3.0,5.0,352.0
146,3,16,1,0.0,0.0,0.0,360.0
147,3,16,2,0.0,0.0,0.0,360.0
148,3,16,3,6.5,13.0,0.0,347.0
149,3,16,4,17.5,7.0,14.0,339.0
150,3,16,5,0.0,0.0,0.0,360.0
151,3,16,6,11.0,12.0,5.0,343.0
152,3,16,7,0.0,0.0,0.0,360.0
153,3,16,8,0.0,0.0,0.0,360.0
154,3,16,9,0.0,0.0,0.0,360.0
155,3,16,10,0.0,0.0,0.0,360.0
156,3,17,1,30.0,42.0,9.0,309.0
157,3,17,2,0.0,0.0,0.0,360.0
158,3,17,3,0.0,0.0,0.0,360.0
159,3,17,4,0.0,0.0,0.0,360.0
160,3,17,5,0.0,0.0,0.0,360.0
161,3,17,6,0.0,0.0,0.0,360.0
162,3,17,7,0.0,0.0,0.0,360.0
163,3,17,8,13.5,11.0,8.0,341.0
164,3,17,9,0.0,0.0,0.0,360.0
165,3,17,10,0.0,0.0,0.0,360.0
166,3,18,1,0.0,0.0,0.0,360.0
167,3,18,2,0.0,0.0,0.0,360.0
168,3,18,3,0.0,0.0,0.0,360.0
169,3,18,4,0.0,0.0,0.0,360.0
170,3,18,5,0.0,0.0,0.0,360.0
171,3,18,6,0.0,0.0,0.0,360.0
172,3,18,7,0.0,0.0,0.0,360.0
173,3,18,8,0.0,0.0,0.0,360.0
174,3,18,9,0.0,0.0,0.0,360.0
175,3,18,10,0.0,0.0,0.0,360.0
176,3,19,1,43.0,38.0,24.0,298.0
177,3,19,2,0.0,0.0,0.0,360.0
178,3,19,3,0.0,0.0,0.0,360.0
179,3,19,4,9.0,4.0,7.0,349.0
180,3,19,5,15.0,18.0,6.0,336.0
181,3,19,6,0.0,0.0,0.0,360.0
182,3,19,7,0.0,0.0,0.0,360.0
183,3,19,8,0.0,0.0,0.0,360.0
184,3,19,9,0.0,0.0,0.0,360.0
185,3,19,10,0.0,0.0,0.0,360.0
186,3,20,1,0.0,0.0,0.0,360.0
187,3,20,2,0.0,0.0,0.0,360.0
188,3,20,3,0.0,0.0,0.0,360.0
189,3,20,4,0.0,0.0,0.0,360.0
190,3,20,5,0.0,0.0,0.0,360.0
191,3,20,6,0.0,0.0,0.0,360.0
192,3,20,7,0.0,0.0,0.0,360.0
193,3,20,8,17.5,19.0,8.0,333.0
194,3,20,9,91.0,124.0,29.0,207.0
195,3,20,10,0.0,0.0,0.0,360.0
196,3,21,1,0.0,0.0,0.0,360.0
197,3,21,2,0.0,0.0,0.0,360.0
198,3,21,3,0.0,0.0,0.0,360.0
199,3,21,4,0.0,0.0,0.0,360.0
200,3,21,5,0.0,0.0,0.0,360.0
201,3,21,6,0.0,0.0,0.0,360.0
202,3,21,7,0.0,0.0,0.0,360.0
203,3,21,8,0.0,0.0,0.0,360.0
204,3,21,9,0.0,0.0,0.0,360.0
205,3,21,10,0.0,0.0,0.0,360.0
206,3,22,1,0.0,0.0,0.0,360.0
207,3,22,2,0.0,0.0,0.0,360.0
208,3,22,3,0.0,0.0,0.0,360.0
209,3,22,4,0.0,0.0,0.0,360.0
210,3,22,5,0.0,0.0,0.0,360.0
211,3,22,6,17.5,31.0,2.0,327.0
212,3,22,7,1.0,2.0,0.0,358.0
213,3,22,8,31.5,19.0,22.0,319.0
214,3,22,9,3.5,7.0,0.0,353.0
215,3,22,10,0.0,0.0,0.0,360.0
216,3,23,1,0.0,0.0,0.0,360.0
217,3,23,2,0.0,0.0,0.0,360.0
218,3,23,3,0.0,0.0,0.0,360.0
219,3,23,4,0.0,0.0,0.0,360.0
220,3,23,5,0.0,0.0,0.0,360.0
221,3,23,6,0.0,0.0,0.0,360.0
222,3,23,7,0.0,0.0,0.0,360.0
223,3,23,8,0.0,0.0,0.0,360.0
224,3,23,9,0.0,0.0,0.0,360.0
225,3,23,10,0.0,0.0,0.0,360.0
226,4,0,1,,,,
227,4,0,2,,,,
228,4,0,3,,,,
229,4,0,4,,,,
230,4,0,5,,,,
231,4,0,6,,,,
232,4,0,7,,,,
233,4,0,8,,,,
234,4,0,9,,,,
235,4,0,10,,,,
236,4,1,1,,,,
237,4,1,2,,,,
238,4,1,3,,,,
239,4,1,4,,,,
240,4,1,5,,,,
241,4,1,6,,,,
242,4,1,7,,,,
243,4,1,8,,,,
244,4,1,9,,,,
245,4,1,10,,,,
246,4,2,1,,,,
247,4,2,2,,,,
248,4,2,3,,,,
249,4,2,4,,,,
250,4,2,5,,,,
251,4,2,6,,,,
252,4,2,7,,,,
253,4,2,8,,,,
254,4,2,9,,,,
255,4,2,10,,,,
256,4,3,1,,,,
257,4,3,2,,,,
258,4,3,3,,,,
259,4,3,4,,,,
260,4,3,5,,,,
261,4,3,6,,,,
262,4,3,7,,,,
263,4,3,8,,,,
264,4,3,9,,,,
265,4,3,10,,,,
266,4,4,1,,,,
267,4,4,2,,,,
268,4,4,3,,,,
269,4,4,4,,,,
270,4,4,5,,,,
271,4,4,6,,,,
272,4,4,7,,,,
273,4,4,8,,,,
274,4,4,9,,,,
275,4,4,10,,,,
276,4,5,1,,,,
277,4,5,2,,,,
278,4,5,3,,,,
279,4,5,4,,,,
280,4,5,5,,,,
281,4,5,6,,,,
282,4,5,7,,,,
283,4,5,8,,,,
284,4,5,9,,,,
285,4,5,10,,,,
286,4,6,1,,,,
287,4,6,2,,,,
288,4,6,3,,,,
289,4,6,4,,,,
290,4,6,5,,,,
291,4,6,6,,,,
292,4,6,7,,,,
293,4,6,8,,,,
294,4,6,9,,,,
295,4,6,10,,,,
296,4,7,1,,,,
297,4,7,2,,,,
298,4,7,3,,,,
299,4,7,4,,,,
300,4,7,5,,,,
301,4,7,6,,,,
302,4,7,7,,,,
303,4,7,8,,,,
304,4,7,9,,,,
305,4,7,10,,,,
306,4,8,1,,,,
307,4,8,2,,,,
308,4,8,3,,,,
309,4,8,4,,,,
310,4,8,5,,,,
311,4,8,6,,,,
312,4,8,7,,,,
313,4,8,8,,,,
314,4,8,9,,,,
315,4,8,10,,,,
316,4,9,1,19.5,19.0,10.0,106.0
317,4,9,2,0.0,0.0,0.0,360.0
318,4,9,3,0.0,0.0,0.0,360.0
319,4,9,4,0.0,0.0,0.0,360.0
320,4,9,5,0.0,0.0,0.0,360.0
321,4,9,6,0.0,0.0,0.0,360.0
322,4,9,7,0.0,0.0,0.0,360.0
323,4,9,8,0.0,0.0,0.0,360.0
324,4,9,9,0.0,0.0,0.0,360.0
325,4,9,10,0.0,0.0,0.0,360.0
326,4,10,1,0.0,0.0,0.0,360.0
327,4,10,2,0.0,0.0,0.0,360.0
328,4,10,3,0.0,0.0,0.0,360.0
329,4,10,4,0.0,0.0,0.0,360.0
330,4,10,5,25.5,31.0,10.0,319.0
331,4,10,6,0.0,0.0,0.0,360.0
332,4,10,7,0.0,0.0,0.0,360.0
333,4,10,8,0.0,0.0,0.0,360.0
334,4,10,9,0.0,0.0,0.0,360.0
335,4,10,10,0.0,0.0,0.0,360.0
336,4,11,1,0.0,0.0,0.0,360.0
337,4,11,2,0.0,0.0,0.0,360.0
338,4,11,3,1.5,1.0,1.0,358.0
339,4,11,4,2.5,3.0,1.0,356.0
340,4,11,5,0.0,0.0,0.0,360.0
341,4,11,6,0.0,0.0,0.0,360.0
342,4,11,7,0.0,0.0,0.0,360.0
343,4,11,8,0.0,0.0,0.0,360.0
344,4,11,9,0.0,0.0,0.0,360.0
345,4,11,10,0.0,0.0,0.0,360.0
346,4,12,1,0.0,0.0,0.0,360.0
347,4,12,2,0.0,0.0,0.0,360.0
348,4,12,3,21.0,14.0,14.0,332.0
349,4,12,4,0.0,0.0,0.0,360.0
350,4,12,5,18.5,3.0,17.0,340.0
351,4,12,6,5.0,2.0,4.0,354.0
352,4,12,7,0.0,0.0,0.0,360.0
353,4,12,8,0.0,0.0,0.0,360.0
354,4,12,9,1.0,0.0,1.0,359.0
355,4,12,10,0.0,0.0,0.0,360.0
356,4,13,1,0.0,0.0,0.0,360.0
357,4,13,2,0.0,0.0,0.0,360.0
358,4,13,3,0.0,0.0,0.0,360.0
359,4,13,4,0.0,0.0,0.0,360.0
360,4,13,5,21.0,34.0,4.0,322.0
361,4,13,6,0.0,0.0,0.0,360.0
362,4,13,7,94.5,189.0,0.0,171.0
363,4,13,8,78.0,122.0,17.0,221.0
364,4,13,9,14.0,28.0,0.0,332.0
365,4,13,10,45.0,84.0,3.0,273.0
366,4,14,1,0.0,0.0,0.0,360.0
367,4,14,2,0.0,0.0,0.0,360.0
368,4,14,3,64.5,125.0,2.0,233.0
369,4,14,4,0.0,0.0,0.0,360.0
370,4,14,5,59.5,113.0,3.0,244.0
371,4,14,6,0.0,0.0,0.0,360.0
372,4,14,7,0.0,0.0,0.0,360.0
373,4,14,8,87.0,172.0,1.0,187.0
374,4,14,9,0.0,0.0,0.0,360.0
375,4,14,10,106.0,210.0,1.0,149.0
376,4,15,1,0.0,0.0,0.0,360.0
377,4,15,2,36.0,56.0,8.0,296.0
378,4,15,3,11.5,17.0,3.0,340.0
