,Cday,CT,bin,data,middle,mid_sep,others
154,1,15,3,120.5,213,14,133
155,1,15,4,0.0,0,0,360
156,1,15,5,52.5,31,37,292
157,1,15,6,34.0,6,31,323
158,1,15,7,43.0,8,39,313
159,1,15,8,108.0,2,107,251
160,1,15,9,22.5,3,21,336
161,1,15,10,65.5,19,56,285
162,1,16,1,31.0,6,28,326
163,1,16,2,0.0,0,0,360
164,1,16,3,0.0,0,0,360
165,1,16,4,0.0,0,0,360
166,1,16,5,0.0,0,0,360
167,1,16,6,0.0,0,0,360
168,1,16,7,40.5,9,36,315
169,1,16,8,0.0,0,0,360
170,1,16,9,0.0,0,0,360
171,1,16,10,0.0,0,0,360
172,1,17,1,0.0,0,0,360
173,1,17,2,24.5,3,23,334
174,1,17,3,52.0,14,45,301
175,1,17,4,81.5,13,75,272
176,1,17,5,61.5,9,57,294
177,1,17,6,83.0,40,63,257
178,1,17,7,0.0,0,0,360
179,1,17,8,29.5,5,27,328
180,1,17,9,23.5,3,22,335
181,1,17,10,0.0,0,0,360
182,1,18,1,0.0,0,0,360
183,1,18,2,0.0,0,0,360
184,1,18,3,0.0,0,0,360
185,1,18,4,0.0,0,0,360
186,1,18,5,0.0,0,0,360
187,1,18,6,0.0,0,0,360
188,1,18,7,0.0,0,0,360
189,1,18,8,0.0,0,0,360
190,1,18,9,0.0,0,0,360
191,1,18,10,23.5,3,22,335
192,1,19,1,0.0,0,0,360
193,1,19,2,32.5,7,29,324
194,1,19,3,0.0,0,0,360
195,1,19,4,0.0,0,0,360
196,1,19,5,0.0,0,0,360
197,1,19,6,0.0,0,0,360
198,1,19,7,0.0,0,0,360
199,1,19,8,0.0,0,0,360
200,1,19,9,0.0,0,0,360
201,1,19,10,0.0,0,0,360
202,1,20,1,0.0,0,0,360
203,1,20,2,0.0,0,0,360
204,1,20,3,0.0,0,0,360
205,1,20,4,0.0,0,0,360
206,1,20,5,14.0,14,7,339
207,1,20,6,0.0,0,0,360
208,1,20,7,0.0,0,0,360
209,1,20,8,0.0,0,0,360
210,1,20,9,0.0,0,0,360
211,1,20,10,0.0,0,0,360
212,1,21,1,0.0,0,0,360
213,1,21,2,0.0,0,0,360
214,1,21,3,0.0,0,0,360
215,1,21,4,0.0,0,0,360
216,1,21,5,0.0,0,0,360
217,1,21,6,25.5,7,22,331
