Cday,CT,bin,middle,mid_sep,others
0,10,3,0,0,70
1,0,1,360,0,0
1,0,2,360,0,0
1,0,3,360,0,0
1,0,4,360,0,0
1,0,5,329,31,0
1,0,6,325,4,31
1,0,7,360,0,0
1,0,8,360,0,0
1,0,9,360,0,0
1,0,10,360,0,0
1,1,1,360,0,0
1,1,2,360,0,0
1,1,3,360,0,0
1,1,4,360,0,0
1,1,5,360,0,0
1,1,6,342,0,18
1,1,7,352,7,1
1,1,8,170,23,167
1,1,9,118,0,242
1,1,10,0,0,360
1,2,1,0,0,360
1,2,2,0,0,360
1,2,3,0,0,360
1,2,4,0,0,360
1,2,5,0,0,360
1,2,6,0,0,360
1,2,7,0,0,360
1,2,8,0,0,360
1,2,9,0,0,360
1,2,10,38,8,314
1,3,1,109,6,245
1,3,2,16,3,341
1,3,3,59,0,301
1,3,4,9,0,351
1,3,5,0,0,360
1,3,6,0,0,360
1,3,7,0,0,360
1,3,8,0,0,360
1,3,9,0,0,360
1,3,10,0,0,360
1,4,1,0,0,360
1,4,2,0,0,360
1,4,3,0,0,360
1,4,4,0,0,360
1,4,5,62,19,279
1,4,6,0,0,360
1,4,7,0,0,360
1,4,8,0,0,360
1,4,9,0,0,360
1,4,10,0,0,360
1,5,1,0,0,360
1,5,2,0,0,360
1,5,3,0,0,360
1,5,4,0,0,360
1,5,5,0,0,360
1,5,6,0,0,360
1,5,7,0,0,360
1,5,8,0,0,360
1,5,9,0,0,360
1,5,10,0,0,360
1,6,1,16,9,335
1,6,2,5,3,352
1,6,3,0,0,360
1,6,4,0,0,360
1,6,5,0,0,360
1,6,6,0,0,360
1,6,7,0,0,360
1,6,8,0,0,360
1,6,9,0,0,360
1,6,10,0,0,360
1,7,1,0,0,360
1,7,2,0,0,360
1,7,3,0,0,360
1,7,4,0,0,360
1,7,5,3,8,349
1,7,6,0,0,360
1,7,7,0,0,360
1,7,8,0,0,360
1,7,9,0,0,360
1,7,10,0,0,360
1,8,1,9,34,317
1,8,2,2,0,358
1,8,3,0,0,360
1,8,4,0,0,360
1,8,5,0,0,360
1,8,6,0,0,360
1,8,7,0,0,360
1,8,8,0,0,360
1,8,9,0,0,360
1,8,10,0,0,360
1,9,1,0,0,360
1,9,2,0,0,360
1,9,3,0,0,360
1,9,4,0,0,360
1,9,5,0,0,360
1,9,6,0,0,360
1,9,7,20,0,340
1,9,8,0,0,360
1,9,9,3,0,357
1,9,10,0,0,360
1,10,1,0,0,360
1,10,2,0,0,360
1,10,3,0,1,374
1,10,4,35,10,675
1,10,5,0,0,720
1,10,6,0,0,617
1,10,7,0,0,360
1,10,8,44,1,315
1,10,9,58,13,289
1,10,10,20,18,322
1,11,1,193,25,142
1,11,2,360,0,0
1,11,3,360,0,0
1,11,4,205,45,110
1,11,5,80,178,102
1,11,6,351,2,7
1,11,7,181,17,162
1,11,8,360,0,0
1,11,9,360,0,0
1,11,10,101,45,214
1,12,1,61,30,269
1,12,2,21,19,320
1,12,3,9,12,339
1,12,4,4,11,345
1,12,5,28,16,316
1,12,6,14,4,342
1,12,7,28,28,304
1,12,8,2,4,354
1,12,9,140,15,205
1,12,10,14,6,340
1,13,1,84,8,268
1,13,2,4,5,351
1,13,3,8,4,348
1,13,4,30,0,330
1,13,5,27,4,329
1,13,6,0,0,360
1,13,7,1,8,351
1,13,8,64,7,289
1,13,9,34,3,323
1,13,10,10,6,344
1,14,1,114,13,233
1,14,2,52,30,278
1,14,3,0,0,360
1,14,4,197,12,151
1,14,5,0,0,360
1,14,6,13,4,343
1,14,7,6,2,352
1,14,8,17,28,315
1,14,9,49,27,284
1,14,10,2,1,357
1,15,1,124,43,193
1,15,2,360,0,0
1,15,3,337,23,0
1,15,4,360,0,0
1,15,5,77,10,273
1,15,6,5,0,355
1,15,7,18,3,339
1,15,8,63,0,297
1,15,9,77,4,279
1,15,10,90,4,266
1,16,1,360,0,0
1,16,2,360,0,0
1,16,3,360,0,0
1,16,4,360,0,0
1,16,5,253,0,107
1,16,6,2,12,346
1,16,7,38,1,321
1,16,8,37,4,319
1,16,9,12,10,338
1,16,10,360,0,0
1,17,1,360,0,0
1,17,2,341,2,17
1,17,3,360,0,0
1,17,4,360,0,0
1,17,5,360,0,0
1,17,6,360,0,0
1,17,7,360,0,0
1,17,8,308,3,49
1,17,9,202,0,158
1,17,10,2,2,356
1,18,1,70,1,289
1,18,2,316,12,32
1,18,3,319,41,0
1,18,4,360,0,0
1,18,5,360,0,0
1,18,6,360,0,0
1,18,7,329,31,0
1,18,8,242,52,66
1,18,9,360,0,0
1,18,10,360,0,0
1,19,1,302,17,41
1,19,2,1,0,359
1,19,3,6,6,348
1,19,4,3,4,353
1,19,5,129,25,206
1,19,6,312,48,0
1,19,7,168,106,86
1,19,8,360,0,0
1,19,9,360,0,0
1,19,10,360,0,0
1,20,1,360,0,0
1,20,2,360,0,0
1,20,3,360,0,0
1,20,4,360,0,0
1,20,5,360,0,0
1,20,6,360,0,0
1,20,7,360,0,0
1,20,8,360,0,0
1,20,9,360,0,0
1,20,10,206,0,154
1,21,1,60,1,299
1,21,2,324,36,0
1,21,3,300,25,35
1,21,4,360,0,0
1,21,5,360,0,0
1,21,6,360,0,0
1,21,7,360,0,0
1,21,8,360,0,0
1,21,9,360,0,0
1,21,10,360,0,0
1,22,1,360,0,0
1,22,2,360,0,0
1,22,3,360,0,0
1,22,4,275,4,81
1,22,5,237,34,89
1,22,6,210,18,132
1,22,7,24,5,331
1,22,8,188,1,171
1,22,9,270,19,71
1,22,10,239,1,120
1,23,1,360,0,0
1,23,2,356,4,0
1,23,3,360,0,0
1,23,4,44,15,301
1,23,5,1,0,359
1,23,6,52,37,271
1,23,7,3,3,354
1,23,8,29,14,317
1,23,9,8,3,349
1,23,10,314,14,32
2,0,1,103,25,232
2,0,2,106,4,250
2,0,3,0,0,360
2,0,4,0,0,360
2,0,5,0,0,360
2,0,6,0,0,360
2,0,7,0,0,360
2,0,8,0,0,360
2,0,9,0,0,360
2,0,10,0,0,360
2,1,1,0,0,360
2,1,2,0,0,360
2,1,3,29,12,319
2,1,4,23,2,335
2,1,5,186,64,110
2,1,6,229,0,131
2,1,7,0,0,360
2,1,8,0,0,360
2,1,9,0,0,360
2,1,10,0,0,360
2,2,1,0,0,360
2,2,2,0,0,360
2,2,3,0,0,360
2,2,4,0,0,360
